Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JCAK,Supplies & Services,Other Services,Beacon C&C,16/11/2014,9137,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,28/11/2014,3000,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,28/11/2014,3000,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,28/11/2014,3000,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,11/11/2014,5429.65,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Other Employee Costs,THOMPSONS SOLICITORS,07/11/2014,300,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,Adoption Matters Northwest,11/11/2014,1194.42,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,05/11/2014,624.37,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,CARTER BROWN LIMITED,05/11/2014,303.75,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,10/11/2014,660,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,INDEPENDENT LIVING PARTNERSHIP LTD,26/11/2014,134.85,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,INDEPENDENT LIVING PARTNERSHIP LTD,13/11/2014,164.85,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Integrate Families Ltd,18/11/2014,405,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Integrate Families Ltd,18/11/2014,270,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LUCY FAITHFULL FOUNDATION,26/11/2014,1049.48,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,26/11/2014,1000,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,17/11/2014,999.96,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,17/11/2014,350,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,17/11/2014,600,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Psyben Limited,26/11/2014,2309.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Psyben Limited,26/11/2014,2074,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,The National Teaching & Advisory Service,13/11/2014,1756,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,13/11/2014,3970.6,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,CL - External Accommodation,Madeley Lettings,10/11/2014,175,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,CL - External Accommodation,Madeley Lettings,10/11/2014,800,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,13/11/2014,325.59,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,26/11/2014,279.1,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,26/11/2014,466.68,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,10/11/2014,291.15,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,LITTLE DRAGONS PRE-SCHOOL,10/11/2014,295.7,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,Busy Bees Shrewsbury,14/11/2014,706.34,,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Transport-Related Expenditure,Contract Hire,CENTRAL TAXIS LTD SHREWSBURY,05/11/2014,158,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Carefirst Services Limited,10/11/2014,253.89,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Carefirst Services Limited,20/11/2014,229.4,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Carefirst Services Limited,20/11/2014,286.75,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,04/11/2014,229.4,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,20/11/2014,229.4,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,05/11/2014,245.79,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,20/11/2014,-122.89,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,25/11/2014,573.5,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Consultants Fees,TELFORD & WREKIN CVS,25/11/2014,1096.58,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Staying put Payments,SAAIL,27/11/2014,734.08,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,05/11/2014,3928.57,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,05/11/2014,5428.57,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,10/11/2014,1483.66,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,574.32,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,458.6,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,1435.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,675,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,697,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,1435.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,20/11/2014,1483.6,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,12/11/2014,1483.66,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,17/11/2014,2799.96,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,05/11/2014,10097.14,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,27/11/2014,1328.57,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/11/2014,1071.43,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/11/2014,1500,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/11/2014,928.57,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/11/2014,771.43,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/11/2014,557.14,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/11/2014,1328.57,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/11/2014,-750,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/11/2014,-664.29,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,25/11/2014,1594.39,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/11/2014,1328.66,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Redacted Personal Information,28/11/2014,200,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Redacted Personal Information,21/11/2014,1742.77,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,24/11/2014,214.29,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Salop Lets,04/11/2014,1400,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,03/11/2014,731.92,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,05/11/2014,240.8,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,05/11/2014,647.28,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,05/11/2014,301,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,05/11/2014,888.08,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/11/2014,406.56,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/11/2014,431.84,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/11/2014,524.17,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/11/2014,1292.28,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/11/2014,818.33,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Sofa Land,25/11/2014,750,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,06/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,20/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,10/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,10/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,25/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,25/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,25/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,10/11/2014,432,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Foster Care Fees,Crackerjacks Day Nursery,25/11/2014,140,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,20/11/2014,129.5,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,21/11/2014,3402.9,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,21/11/2014,3402.9,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,24/11/2014,4585.71,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CAMBIAN GROUP T/A THE ADVANCED CHILDCARE GROUP,18/11/2014,3361.64,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,21/11/2014,3997.5,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,24/11/2014,4081.5,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,17/11/2014,4047.98,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,17/11/2014,4081.5,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,13/11/2014,3309.64,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,13/11/2014,3412,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,24/11/2014,2527.2,,,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,21/11/2014,4435.5,,,,,,,,,
