Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/04/2014,163.46,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,23/04/2014,125.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,23/04/2014,358.40,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,11/04/2014,280.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,11/04/2014,569.51,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,11/04/2014,387.50,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,07/04/2014,290.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,07/04/2014,"5,579.47",,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,07/04/2014,403.75,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,10/04/2014,600.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,03/04/2014,243.41,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,03/04/2014,244.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,03/04/2014,380.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,11/04/2014,250.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,11/04/2014,420.01,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,28/04/2014,102.49,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,29/04/2014,"5,535.24",,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,29/04/2014,540.60,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,29/04/2014,"1,486.00",,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,30/04/2014,256.40,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,10/04/2014,"1,190.00",,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Just Checking,02/04/2014,"2,976.00",,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,07/04/2014,950.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,04/04/2014,125.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,04/04/2014,184.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,28/04/2014,"5,447.76",,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,14/04/2014,245.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,17/04/2014,-160.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,17/04/2014,-160.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,17/04/2014,-216.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,17/04/2014,-220.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,24/04/2014,240.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,23/04/2014,120.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Upward Care Solutions Ltd,08/04/2014,420.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,08/04/2014,"1,371.43",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,08/04/2014,"4,630.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,08/04/2014,"6,200.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,08/04/2014,"2,880.08",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,08/04/2014,"2,214.33",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,08/04/2014,"1,599.92",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,08/04/2014,"3,085.80",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,514.29,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,720.96,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,720.93,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,977.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,325.71,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,652.80,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,411.36,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,240.31,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,652.80,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,"1,080.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,"4,320.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/04/2014,"1,594.33",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,08/04/2014,927.50,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,"1,873.29",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,"1,456.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,"1,873.29",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,120.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,"1,107.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,274.28,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,11/04/2014,186.53,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,11/04/2014,409.85,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,HILLCREST CARE LTD,11/04/2014,"3,050.18",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Employees,Agency Supply Costs,Nonstop Recruitment,28/04/2014,"1,058.50",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Employees,Agency Supply Costs,Nonstop Recruitment,28/04/2014,"1,022.25",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Employees,Agency Supply Costs,Nonstop Recruitment,28/04/2014,899.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,08/04/2014,"5,600.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,"1,612.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,08/04/2014,"1,371.43",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,08/04/2014,"6,397.14",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/04/2014,"1,328.66",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/04/2014,332.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,08/04/2014,"1,203.30",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/04/2014,"1,612.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,17/04/2014,"-18,096.00",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Employees,Agency Supply Costs,Nonstop Recruitment,22/04/2014,"1,029.50",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,22/04/2014,"8,414.33",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,22/04/2014,"1,771.34",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,22/04/2014,"2,799.96",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,22/04/2014,"2,799.96",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Employees,Agency Supply Costs,Nonstop Recruitment,22/04/2014,957.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,22/04/2014,742.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Equipment - Purchase,Tendercare Ltd,25/04/2014,"1,114.50",,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,08/04/2014,227.20,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,08/04/2014,251.41,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,08/04/2014,227.20,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,08/04/2014,113.60,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,08/04/2014,324.82,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,11/04/2014,277.20,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,11/04/2014,"4,252.55",,,,,,,,
Adult Care & Support,Access & Enablement,JCAF,Supplies & Services,Equipment - Purchase,BDF Solutions,28/04/2014,133.94,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,08/04/2014,227.20,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,08/04/2014,227.20,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,08/04/2014,243.30,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,15/04/2014,170.40,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,THEO LANGSTON,15/04/2014,150.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,23/04/2014,251.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,22/04/2014,251.41,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,22/04/2014,284.00,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,22/04/2014,227.20,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,22/04/2014,113.59,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,07/04/2014,175.00,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,07/04/2014,393.00,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,07/04/2014,393.00,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,11/04/2014,393.00,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,30/04/2014,393.00,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,24/04/2014,137.50,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Legal Expenses,Contracts & Procurement Advice Limited,24/04/2014,"4,046.00",,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Licences,Home Instead,24/04/2014,121.80,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),IRONBRIDGE GORGE MUSEUM TRUST LTD,24/04/2014,"2,000.00",,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Equipment - Purchase,CHRISBEON OFFICE SUPPLIES,23/04/2014,249.99,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION,24/04/2014,"7,666.25",,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,07/04/2014,"7,159.04",,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,24/04/2014,"7,159.04",,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCM,Third Party Payments,Nursing Expenditure,MORRIS CARE,07/04/2014,"78,000.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,14/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,14/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,14/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,14/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,14/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAB,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,14/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,449.56,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,449.56,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,"2,291.40",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,449.56,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,"1,805.67",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,"2,291.40",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAL,Premises-Related Expenditure,R&M -Building Other,NHS Telford and Wrekin CCG,01/04/2014,"100,000.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAJ,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,15/04/2014,"2,150.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAF,Third Party Payments,Private Contractors,CREATIVE SUPPORT LTD,11/04/2014,"2,291.40",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,GLYN UPTON REMOVALS,08/04/2014,190.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,08/04/2014,"2,735.04",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,08/04/2014,"1,650.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,External Foster Care Payments,BOURNVILLE VILLAGE TRUST,08/04/2014,"11,377.81",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BROMFORD HOUSING ASSOCIATION LIMITED,08/04/2014,"12,756.83",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,08/04/2014,"1,725.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,08/04/2014,"11,223.17",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,08/04/2014,"1,785.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,176.40,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,159.72,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,08/04/2014,"2,291.40",,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,315.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,100.80,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,189.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,238.32,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,252.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,08/04/2014,126.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,CREATIVE SUPPORT LTD,15/04/2014,"1,092.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HOBT,Third Party Payments,Daycare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,03/04/2014,"75,000.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,08/04/2014,711.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,08/04/2014,400.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),Sundry election PO PC,08/04/2014,400.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,10/04/2014,600.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,150.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,350.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,"2,860.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,250.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,600.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,300.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,160.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,300.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,150.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,400.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,"7,300.00",,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,01/04/2014,130.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,29/04/2014,400.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/04/2014,250.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,10/04/2014,130.00,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,10/04/2014,600.00,,,,,,,,
