Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),24/06/2014,158.00,,,,,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,27/06/2014,140.00,,,,,,,
Adult Social Services,Access & Enablement,HOCV,Premises-Related Expenditure,Contract Cleaning,Unitty Specialist Cleaning LTD,27/06/2014,400.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),TAKING PART,26/06/2014,"16,448.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),INDEPENDENT LIVING PARTNERSHIP LTD,26/06/2014,"14,553.60",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),HEADWAY SHROPSHIRE,26/06/2014,"3,013.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),ALZHEIMERS SOCIETY,26/06/2014,"3,013.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,02/06/2014,393.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),BRANCHING OUT,05/06/2014,"4,500.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,05/06/2014,225.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,05/06/2014,500.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,05/06/2014,250.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),COMMUNITY COUNCIL OF SHROPSHIRE,05/06/2014,"4,500.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,26/06/2014,150.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,19/06/2014,500.00,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),Fable Progression CIC,23/06/2014,"4,500.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),30/06/2014,"4,193.91",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),30/06/2014,"86,483.44",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),30/06/2014,"61,475.21",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),30/06/2014,"59,492.15",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),30/06/2014,"13,549.87",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),30/06/2014,"13,112.78",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,30/06/2014,"51,537.07",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,26/06/2014,"7,159.04",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,26/06/2014,"7,159.04",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),26/06/2014,"45,370.52",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOCJ,Supplies & Services,Other Services,BRITISH RED CROSS SOCIETY,26/06/2014,"5,645.79",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOCM,Third Party Payments,Nursing Expenditure,MORRIS CARE,30/06/2014,"78,857.14",,,,,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,WREKIN HOUSING TRUST (CARE SUPPORT PYMTS ONLY),10/06/2014,"16,462.44",,,,,,,
Adult Social Services,Assessment & Case Management,HLAC,Supplies & Services,Other Grants (Expenses),TAKING PART,26/06/2014,"50,000.00",,,,,,,
Adult Social Services,Assessment & Case Management,HLCG,Premises-Related Expenditure,Planned Repairs,HOME GROUP LTD,30/06/2014,772.74,,,,,,,
Adult Social Services,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BROMFORD HOUSING ASSOCIATION LIMITED,30/06/2014,"12,756.83",,,,,,,
Adult Social Services,Assessment & Case Management,HOAH,Third Party Payments,Nursing Expenditure,SHROPSHIRE PEER COUNSELLING & ADVOCACY  SERV,20/06/2014,592.10,,,,,,,
Adult Social Services,Assessment & Case Management,HOBJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,11/06/2014,150.25,,,,,,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,23/06/2014,368.63,,,,,,,
Adult Social Services,Care & Support,HHAC,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,26/06/2014,154.50,,,,,,,
Adult Social Services,Care & Support,HHAC,Supplies & Services,Conference Expenses,AMBASSADOR TAXIS,26/06/2014,150.00,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMBB,Premises-Related Expenditure,R&M - Pavillions,BRITISH GAS BUSINESS (GU45 1AW),05/06/2014,475.80,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMBJ,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST (INVOICES ONLY),24/06/2014,"1,033.40",,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,Acorn Kennels,05/06/2014,575.00,,,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,18/06/2014," 1,076.87 ",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Transport-Related Expenditure,Travelling Expenses General,EXPOTEL HOTEL RESERVATIONS LIMITED,25/06/2014,185.90,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,25/06/2014,185.90,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Employees,Agency Supply Costs,MERIDIAN COST BENEFIT LTD,06/06/2014,"1,478.15",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Employees,Agency Supply Costs,CARITAS RECRUITMENT LTD,04/06/2014,"5,912.60",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Employees,Agency Supply Costs,MERIDIAN COST BENEFIT LTD,18/06/2014,237.06,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Section 17 Childrens Act,Benson Management & Associates Ltd,03/06/2014,700.00,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,03/06/2014,112.50,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Translation Services,UK Language Solutions Ltd,16/06/2014,450.75,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Furniture - Purchase,BROADSTOCK OFFICE FURNITURE LIMITED,18/06/2014,572.82,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Furniture - Purchase,BROADSTOCK OFFICE FURNITURE LIMITED,18/06/2014,168.00,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,18/06/2014,132.60,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Employees,Agency Supply Costs,Nonstop Recruitment,06/06/2014,"1,056.00",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,06/06/2014,206.50,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,05/06/2014,"1,931.50",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,INDEPENDENT LIVING PARTNERSHIP LTD,05/06/2014,400.00,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,27/06/2014,"1,800.00",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,27/06/2014,600.00,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,27/06/2014,"1,000.00",,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,27/06/2014,900.00,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,27/06/2014,999.96,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,05/06/2014,303.20,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Legal,Wright McMillian Bennett Law,05/06/2014,457.55,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,Lawley Village Day Nursery,05/06/2014,139.20,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,11/06/2014,300.00,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,18/06/2014,234.15,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,18/06/2014,799.96,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,18/06/2014,864.56,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,18/06/2014,-234.15,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,30/06/2014,229.80,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,30/06/2014,"1,328.57",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,30/06/2014,"1,328.57",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/06/2014,"2,799.96",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,30/06/2014,227.20,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,30/06/2014,229.40,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,30/06/2014,229.40,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/06/2014,"2,799.96",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/06/2014,"2,799.96",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/06/2014,"2,799.96",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/06/2014,"2,799.96",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,30/06/2014,229.40,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,PROGRESS CHILDREN'S SERVICES LTD,18/06/2014,"-5,038.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,18/06/2014,742.00,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,321.43,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,"1,285.80",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,286.75,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,227.20,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,172.05,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,27/06/2014,"2,214.33",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,"1,285.71",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,27/06/2014,553.08,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,27/06/2014,"2,142.90",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,"1,285.71",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,27/06/2014,232.15,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,"4,170.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,414.64,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,"11,997.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,27/06/2014,286.20,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,332.14,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,27/06/2014,239.14,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,27/06/2014,"1,372.86",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,"1,657.14",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,27/06/2014,888.08,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,27/06/2014,742.00,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,27/06/2014,229.40,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,113.60,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,257.14,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,750.00,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,18/06/2014,"1,328.57",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,"8,285.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,356.79,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,"11,610.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,"5,996.42",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,"1,932.14",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,18/06/2014,"9,081.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,18/06/2014,-112.58,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,10/06/2014,"1,700.58",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,10/06/2014,"1,612.00",,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,27/06/2014,229.40,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Redacted Personal Information,13/06/2014,200.00,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,NEXT STEP CARE MANAGEMENT LTD,18/06/2014,220.00,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,27/06/2014,105.00,,,,,,,
