Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,05/11/2013,1558,,,,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,27/11/2013,410,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,15/11/2013,110,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,HEARING PRODUCTS INTERNATIONAL LIMITED,27/11/2013,113.5,,,,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,04/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,04/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,27/11/2013,150,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,20/11/2013,1797,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,20/11/2013,113.85,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AKW MEDI-CARE LIMITED,21/11/2013,101.84,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,22/11/2013,523.75,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,22/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,22/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,22/11/2013,655,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PivoTell Ltd,26/11/2013,294,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,06/11/2013,1439.62,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,05/11/2013,855,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,05/11/2013,585,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,06/11/2013,3500,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,25/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,25/11/2013,1260,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,15/11/2013,623.71,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CENTROBED LIMITED,01/11/2013,3400,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,27/11/2013,385,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,15/11/2013,243,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,28/11/2013,104,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Hire,HANDICARE ACCESSIBILITY LIMITED,28/11/2013,5546.82,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,07/11/2013,420,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PivoTell Ltd,07/11/2013,1900,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Essentialaids Ltd,07/11/2013,175.51,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,07/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,07/11/2013,125,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Neater Solutions Ltd,15/11/2013,1052,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,26/11/2013,220,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Aids & Appliances,1st Call Mobility,25/11/2013,395,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,04/11/2013,1816.25,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,25/11/2013,1241.86,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,06/11/2013,227.2,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,06/11/2013,1864.5,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,1727.14,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,1328.66,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,664.33,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,1550,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,1328.66,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,597.99,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,113.6,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,227.2,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,KEYS CHILDCARE LTD,15/11/2013,1771.34,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,227.2,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,284,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,06/11/2013,1928.7,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,15/11/2013,930,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,KEYS CHILDCARE LTD,15/11/2013,251.41,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,216,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/11/2013,668.59,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/11/2013,108.8,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/11/2013,180,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/11/2013,960,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,06/11/2013,227.2,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,28/11/2013,699.99,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,28/11/2013,699.99,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,28/11/2013,699.99,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,28/11/2013,699.99,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,06/11/2013,284,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,06/11/2013,227.2,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,14/11/2013,5280,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,14/11/2013,1594.33,,,,
Adult Care & Support,Access & Enablement,JCAF,Supplies & Services,Mobile Phones,ORANGE PCS LTD,22/11/2013,119,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),ALZHEIMERS SOCIETY,26/11/2013,1506.5,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),SHROPSHIRE PARTNERS IN CARE LTD,01/11/2013,19271.42,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Printing - Print Room,Graphics and Print (Telford) Ltd,14/11/2013,108,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Printing - Print Room,Graphics and Print (Telford) Ltd,14/11/2013,108,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Printing - Print Room,Graphics and Print (Telford) Ltd,14/11/2013,108,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,08/11/2013,120,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEA,Supplies & Services,Other Grants (Expenses),REDACTED PERSONAL INFORMATION,06/11/2013,168.74,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,TUDOR PRINT & SIGNS,19/11/2013,108,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,27/11/2013,4193.91,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,27/11/2013,87465.58,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,27/11/2013,59492.15,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,27/11/2013,13112.78,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,25/11/2013,37037.19,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,29/11/2013,5487.7,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/11/2013,6301.66,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/11/2013,28114.07,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/11/2013,37739.57,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/11/2013,45287.49,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/11/2013,31869,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,14/11/2013,-29718.32,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,ACCORD HOUSING ASSOCIATION LIMITED,01/11/2013,103461.64,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,11/11/2013,29051.21,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,11/11/2013,46797.07,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,11/11/2013,38997.56,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,11/11/2013,28114.07,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,11/11/2013,32931.3,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,05/11/2013,5428.92,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Supplies & Services,Other Services,BRITISH RED CROSS SOC (SCOTLAND PRO UNIT,26/11/2013,5645.79,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,05/11/2013,5428.92,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCM,Third Party Payments,Nursing Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,01/11/2013,61663.68,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCM,Third Party Payments,Nursing Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,01/11/2013,66407.04,,,,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,04/11/2013,599066.5,,,,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,04/11/2013,368721.5,,,,
Adult Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/11/2013,3132,,,,
Adult Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/11/2013,313.2,,,,
Adult Care & Support,Assessment & Case Management,HOBJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,27/11/2013,184.63,,,,
Adult Care & Support,Assessment & Case Management,HOBN,Transport-Related Expenditure,Travelling Expenses General,NSL t/a NSL CARE SERVICES,27/11/2013,146.14,,,,
Adult Care & Support,Assessment & Case Management,HOCA,Transport-Related Expenditure,District Council Vehicles,Age Concern Wrekin,21/11/2013,2867,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,12/11/2013,409.15,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,01/11/2013,409.15,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Transport-Related Expenditure,Travelling Expenses General,EXPOTEL HOTEL RESERVATIONS LIMITED,14/11/2013,256,,,,
Adult Care & Support,Care & Support,HHAC,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,27/11/2013,147.1,,,,
Adult Care & Support,Care & Support,HHAC,Supplies & Services,Subscriptions,CHART INST PUBLIC FINANCE & ACCOUNTANCY,14/11/2013,2000,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,19/11/2013,303.66,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,19/11/2013,233.04,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Provisions,G N BADLEY & SONS,20/11/2013,205.35,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ARCO LIMITED,20/11/2013,206.63,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/11/2013,158.63,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Equipment - Repair,ERIC NEVILLE CATERING SUPPLIES LTD,18/11/2013,105.35,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,25/11/2013,108.3,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,EEC Whole Milk,BIKOLD,04/11/2013,271.31,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,29/11/2013,215.43,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,29/11/2013,250.64,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/11/2013,241.57,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,06/11/2013,444.36,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,22/11/2013,238,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Comp Hardware (Purch / Hire),WREKIN SERVICES LTD,28/11/2013,130,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAB,Employees,Course Fees,SHROPSHIRE COUNCIL,15/11/2013,1183.98,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,04/11/2013,160,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,04/11/2013,310,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAN,Premises-Related Expenditure,R&M -Buildings DLO Charge,PHS GROUP LTD,04/11/2013,305.76,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAW,Supplies & Services,Computer Hardware (Maint),ILLY SYSTEMS LTD,27/11/2013,15450,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAW,Supplies & Services,Computer Hardware (Maint),ILLY SYSTEMS LTD,27/11/2013,150,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBB,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,15/11/2013,565.93,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,22/11/2013,3259.11,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,22/11/2013,8375.75,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,HILBRAE PETS HOTEL,15/11/2013,165,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,22/11/2013," 1,070 ",,,,
Children's Safeguarding,Child Protection & Assessment,JAAG,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,06/11/2013,227.2,,,,
Children's Safeguarding,Child Protection & Assessment,JAAG,Supplies & Services,Supportive Lodgings,THEO LANGSTON,15/11/2013,931.24,,,,
Children's Safeguarding,Child Protection & Assessment,JAAG,Supplies & Services,Supportive Lodgings,THEO LANGSTON,15/11/2013,931.24,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,TRIMEGA LABORATORIES LTD,22/11/2013,351.9,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,TRIMEGA LABORATORIES LTD,22/11/2013,351.9,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Other Office Expenses,SPECIALIST COMPUTERS CENTRES PLC,08/11/2013,412.11,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Supportive Lodgings,SAAIL,06/11/2013,4694.33,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,CL - Basic Allowance,SAAIL,06/11/2013,227.2,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,06/11/2013,515,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,06/11/2013,575,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Supportive Lodgings,SAAIL,11/11/2013,4542.9,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Supplies & Services,Supportive Lodgings,SAAIL,11/11/2013,227.2,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,HAZLES FARM CHILDCARE LTD,28/11/2013,203,,,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,08/11/2013,417,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,18/11/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,25/11/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Legal Expenses,Mortimers,01/11/2013,434,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,11/11/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,04/11/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,ABC Day Nursery,22/11/2013,769.6,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,WOODEN TOPS DAY NURSERY F363,01/11/2013,324.48,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,CHIPMUNKS NURSERY,28/11/2013,182.25,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,12/11/2013,632.5,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,14/11/2013,-191.8,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,21/11/2013,8326.23,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,21/11/2013,5611.07,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,21/11/2013,7946.4,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,21/11/2013,5060.08,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,28/11/2013,623.35,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,19/11/2013,162.25,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,28/11/2013,555.65,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,26/11/2013,4371.3,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,01/11/2013,282.2,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,01/11/2013,227.2,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,SAAIL,28/11/2013,227.2,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,28/11/2013,172.5,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,14/11/2013,157,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,14/11/2013,178.6,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Taxi Costs,CORKYS CARS,04/11/2013,320,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,21/11/2013,3380.86,,,,
