Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,10/01/2014,125,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,14/01/2014,125,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,14/01/2014,208.26,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,14/01/2014,225,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,03/01/2014,754,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,03/01/2014,5488.92,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,03/01/2014,522.58,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,10/01/2014,150,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,09/01/2014,229.96,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,13/01/2014,209,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,08/01/2014,123.06,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,14/01/2014,514.51,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE MOBILITY EQUIPTMENT CO LTD,16/01/2014,568.5,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,16/01/2014,121.2,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,24/01/2014,475,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,28/01/2014,125,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,23/01/2014,159,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,28/01/2014,5447.76,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,RIGHT 2 WRITE,07/01/2014,1592,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,31/01/2014,-339.4,,,,,,
Adult Care & Support,Access & Enablement,HOBC,Supplies & Services,Computer Software (Maint),WREKIN SERVICES LTD,30/01/2014,285.51,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,843.2,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,398.66,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,930,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,909.54,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,1395,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,6975,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,1246.17,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,1695,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,843.2,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,597.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2014,591.34,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/01/2014,1910.93,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/01/2014,-6900,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/01/2014,-720,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/01/2014,-14604.59,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,15/01/2014,699.99,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,1285.8,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,578.7,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,1500,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,15/01/2014,1560,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,1285.8,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,514.32,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,15/01/2014,240,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,03/01/2014,227.2,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,03/01/2014,227.2,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,03/01/2014,208,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,08/01/2014,-413.46,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,113.6,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,227.2,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,15/01/2014,284,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,DAWLEY BARGAIN CENTRE,03/01/2014,175,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,LEAVING CARE COMPANY,06/01/2014,233.29,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,28/01/2014,100.5,,,,,,
Adult Care & Support,Access & Enablement,JCAF,Supplies & Services,Mobile Phones,SPECIALIST COMPUTERS CENTRES PLC,07/01/2014,170.37,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HCAL,Supplies & Services,Other Grants (Expenses),POHWER,14/01/2014,8375.75,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),ROYAL VOLUNTARY SERVICES,27/01/2014,6305.13,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),ROYAL VOLUNTARY SERVICES,09/01/2014,18915.39,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),AGE CONCERN SHROPS TELFORD & WREKIN,29/01/2014,30891.5,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),BRANCHING OUT,14/01/2014,4999,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Printing - Other,DELTOR COMMUNICATIONS LTD,17/01/2014,161,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAE,Supplies & Services,Comp Software (Purch / Hire),CYLIX LIMITED,17/01/2014,4733,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAE,Supplies & Services,Publications,TELFORD & WREKIN CVS,24/01/2014,287.5,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),AFC Telford United Supporters Ltd,15/01/2014,3500,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,09/01/2014,954.24,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,14/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,30/01/2014,393,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,SILK GROUP LTD,10/01/2014,450,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,SILK GROUP LTD,10/01/2014,225,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,SILK GROUP LTD,10/01/2014,280,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,28/01/2014,4333.71,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,28/01/2014,4333.71,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,15/01/2014,-2414.57,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,15/01/2014,4650.29,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,90814.51,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,89544.08,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,61475.21,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,61475.21,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,13549.87,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,13549.87,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,29/01/2014,3770.2,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,29/01/2014,7159.04,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,28/01/2014,51928.56,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,29/01/2014,106673.29,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,15/01/2014,29051.21,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,15/01/2014,32931.3,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,15/01/2014,38997.56,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,15/01/2014,46797.07,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,03/01/2014,13295.65,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/01/2014,11223.17,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/01/2014,11377.81,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/01/2014,1785,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,10/01/2014,2735.04,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,10/01/2014,1650,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,10/01/2014,1725,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,10/01/2014,697,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Supplies & Services,Respite Care,AMG NURSING & CARE SERVICES,10/01/2014,645.98,,,,,,
Adult Care & Support,Assessment & Case Management,HLCK,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,10/01/2014,1092,,,,,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Comp Software (Purch / Hire),OLM SYSTEMS LTD,09/01/2014,425,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,08/01/2014,368.63,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,23/01/2014,314.77,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,16/01/2014,305.04,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,23/01/2014,305.04,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Provisions,G N BADLEY & SONS,23/01/2014,200.68,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,20/01/2014,120,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,07/01/2014,108.71,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,02/01/2014,401.01,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,07/01/2014,126.95,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),15/01/2014,155.59,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,24/01/2014,353.1,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,17/01/2014,500.14,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,17/01/2014,2723.5,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,17/01/2014,468.5,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,07/01/2014,224.76,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,17/01/2014,386.45,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,RICOH UK LIMITED,07/01/2014,367.48,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,17/01/2014,598.25,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,17/01/2014,437.5,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Employees,Professional Subs,SHARED LIVES PLUS,17/01/2014,217,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Employees,Professional Subs,SHARED LIVES PLUS,17/01/2014,301.92,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,Shared Lives ,06/01/2014,148.11,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,Shared Lives ,06/01/2014,148.11,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,Shared Lives ,08/01/2014,345.61,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Other Expenses,RENTOKIL INITIAL UK LIMITED,03/01/2014,174.66,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Service Contracts,SRCL LTD,16/01/2014,818.64,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Supplies & Services,Stationery,PAPWORTH PUBLISHING,13/01/2014,142.5,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBC,Third Party Payments,Daycare Expenditure,TELFORD MIND,06/01/2014,10439.36,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBC,Third Party Payments,Daycare Expenditure,TELFORD MIND,08/01/2014,10439.36,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,20/01/2014,3259.11,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HPAA,Supplies & Services,Comp Software (Purch / Hire),OLM SYSTEMS LTD,28/01/2014,7500,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JAAD,Supplies & Services,Postages,NORTHGATE INFORMATION SOLUTIONS UK LTD,23/01/2014,262.34,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAA,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,06/01/2014,8264.21,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,28/01/2014,210,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,28/01/2014,172,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,28/01/2014,166,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAA,Supplies & Services,Legal,St Philips Chambers Limited,29/01/2014,750,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,21/01/2014,700,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,CL - External Accommodation,THE ARLESTON INN HOTEL,29/01/2014,1050,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,21/01/2014,170.9,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,06/01/2014,125,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Mobile Phones,ORANGE PCS LTD,02/01/2014,119,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,13/01/2014,125,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,20/01/2014,125,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,20/01/2014,421.75,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,CHIPMUNKS NURSERY,10/01/2014,157.48,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,ABC Day Nursery,10/01/2014,296,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,TOTS AND TODDLERS DAYCARE,30/01/2014,128,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Transport-Related Expenditure,Contract Hire,CENTRAL TAXIS LTD SHREWSBURY,20/01/2014,734.5,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,02/01/2014,1050,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,07/01/2014,1400,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,07/01/2014,1400,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,20/01/2014,1851.83,,,,,,
