Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Land Purchase,HOMES & COMMUNITIES AGENCY,03/04/2018," 534,583.81 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Other Capital Expenditure,Preston Innovations Ltd,03/04/2018," 26,850.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Design Development Partnership,04/04/2018," 3,500.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Skylens Photography & Video Ltd,04/04/2018, 295.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,RPS DESIGN LTD,04/04/2018," 2,000.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,3 Williows Ltd,04/04/2018," 5,000.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,RPS DESIGN LTD,04/04/2018," 1,000.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Hinton Properties,04/04/2018," 13,055.56 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Hinton Properties,04/04/2018," 4,333.33 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,IDP (Central) Ltd,04/04/2018," 1,500.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,FREETHS LLP ,19/04/2018," 3,233.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,06/04/2018," 44,154.27 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,24/04/2018," 1,044.90 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,REDACTED PERSONAL INFORMATION,24/04/2018, 600.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,24/04/2018, 650.70 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,27/04/2018," 911,122.39 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Broadacre Tree Services,27/04/2018," 2,200.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,MARLOW CONSULTING LTD,30/04/2018, 640.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Design Development Partnership,13/04/2018," 1,000.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Morris Property Ltd,13/04/2018," 39,082.87 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Lovell Partnerships Limited,13/04/2018, 148.46 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Skylens Photography & Video Ltd,13/04/2018, 295.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Miscellaneous Income,GRAHAM WITHERS,03/04/2018," 7,785.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,FREETHS LLP ,19/04/2018, 975.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Marketing / Advertising,VPS (UK) LTD,19/04/2018," 1,188.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,MARLOW CONSULTING LTD,06/04/2018, 460.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,MARLOW CONSULTING LTD,06/04/2018, 580.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Engineers Fees,AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE UK LTD,06/04/2018," 1,892.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Engineers Fees,LANDMARK INFORMATION GROUP LTD,06/04/2018, 279.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Marketing / Advertising,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,06/04/2018," 4,050.00 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Marketing / Advertising,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,06/04/2018, 957.12 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,R G STONES (BUILDINGS) LTD,06/04/2018," 17,281.60 "
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,24/04/2018, 953.50 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Land Purchase,Browne Jacobson LLP,24/04/2018, 950.00 
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Marketing / Advertising,BULLEYS BRADBURY,13/04/2018," 4,185.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,04/04/2018, 295.56 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,04/04/2018, 411.69 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,04/04/2018, 374.63 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SECURITY WISE LTD,04/04/2018, 748.00 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,04/04/2018, 536.71 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 290.75 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018," 1,023.03 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 521.24 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 616.09 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018," 1,154.76 "
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,25/04/2018, 410.21 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,25/04/2018, 698.47 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),24/04/2018, 513.57 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),24/04/2018, 209.30 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),24/04/2018," 1,029.49 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/04/2018, 265.97 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/04/2018," 1,994.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/04/2018," 2,400.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/04/2018," 6,600.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,19/04/2018, 159.17 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,03/04/2018," 1,140.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,ASHTENNE ASSET MANAGEMENT LTD,03/04/2018," 1,016.45 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,05/04/2018, 233.75 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 188.62 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 156.07 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 196.17 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,DOOR LOADING SERVICES UK LTD,05/04/2018," 1,800.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,25/04/2018, 250.95 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Consultants Fees,LAMBERT SMITH HAMPTON GROUP LTD,06/04/2018," 5,830.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,12/04/2018, 417.42 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,12/04/2018, 598.29 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/04/2018," 1,125.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/04/2018, 785.18 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/04/2018, 286.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,UNIVERSITY OF WOLVERHAMPTON ,13/04/2018, 107.83 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,WHOLESALE GLASS * GLAZING,18/04/2018, 150.00 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Expenses,SHROPSHIRE WILDLIFE SURVEYS,05/04/2018, 290.00 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,30/04/2018, 155.00 
"Business, Development & Employment",Estates & Investment,Third Party Payments,Voluntary Bodies,SEVERN GORGE COUNTRYSIDE TRUST,05/04/2018," 58,702.39 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Service Contracts,BULLEYS BRADBURY,05/04/2018," 2,775.05 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,OSBORNE DELTA (LIGHTNING CONDUCTORS) LTD,17/04/2018, 120.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,03/04/2018," 1,045.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,03/04/2018," 3,522.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,05/04/2018, 100.44 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,05/04/2018, 150.34 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,05/04/2018, 353.75 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),04/04/2018," 1,744.39 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 131.53 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 126.94 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/04/2018, 163.63 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd ,24/04/2018," 9,380.67 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,E.ON ,24/04/2018, 435.49 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ,24/04/2018, 173.07 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,24/04/2018, 382.75 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,25/04/2018, 440.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ELEC ,25/04/2018, 181.97 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ,25/04/2018, 198.67 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,25/04/2018, 440.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/04/2018," 1,584.36 "
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,SITEWATCH,23/04/2018, 882.00 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd ,24/04/2018," 8,069.58 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,24/04/2018, 104.02 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Window Cleaning,BUSY BEE CLEANING,09/04/2018, 300.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,09/04/2018, 185.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,30/04/2018, 299.43 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd ,30/04/2018," 9,380.67 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,30/04/2018, 259.25 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd ,30/04/2018," 8,069.58 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,30/04/2018, 125.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,12/04/2018, 283.80 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,VEOLIA ES (UK) LTD,12/04/2018, 266.53 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,FCC Recycling (UK) Ltd ,12/04/2018, 216.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,12/04/2018, 605.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,12/04/2018, 960.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,12/04/2018, 605.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,12/04/2018, 605.00 
