Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,15/10/2014,135,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,31/10/2014,255,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,31/10/2014,366,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,09/10/2014,342,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,30/10/2014,1220,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,15/10/2014,120,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,23/10/2014,372.6,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,29/10/2014,469.2,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,23/10/2014,234.6,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,23/10/2014,242.33,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Purchase,SHROPSHIRE COUNCIL,02/10/2014,200.00,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Purchase,THE WREKIN HOUSING TRUST (INVOICES ONLY),06/10/2014,100.68,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,17/10/2014,175.00,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,23/10/2014,5392.21,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,23/10/2014,576.64,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,17/10/2014,110.00,,,
Adult Social Services,Access & Enablement,HOAW,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,17/10/2014,19662,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,17/10/2014,140,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Other Expenses,HILBRAE PETS HOTEL,17/10/2014,240,,,
Adult Social Services,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),21/10/2014,216.28,,,
Adult Social Services,Access & Enablement,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,17/10/2014,6301.66,,,
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),POHWER,01/10/2014,3259.11,,,
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),POHWER,01/10/2014,7634.33,,,
Adult Social Services,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),09/10/2014,4333.71,,,
Adult Social Services,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),06/10/2014,4333.71,,,
Adult Social Services,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/10/2014,89853.08,,,
Adult Social Services,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),06/10/2014,89583.78,,,
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/10/2014,61773.7,,,
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),06/10/2014,61773.7,,,
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),09/10/2014,12240.08,,,
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),06/10/2014,12461.9,,,
Adult Social Services,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,Redacted Personal Information,01/10/2014,8381.77,,,
Adult Social Services,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,29/10/2014,15214.36,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),08/10/2014,49664.23,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,16/10/2014,7159.04,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,08/10/2014,7159.04,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,13467.8,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,11223.17,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,11377.81,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,08/10/2014,"13,653.37",,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,1092,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,1092,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,1092,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,1092,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,1092,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,16/10/2014,38412.54,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,16/10/2014,46095.05,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,16/10/2014,32437.69,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,16/10/2014,28615.44,,,
Adult Social Services,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),08/10/2014,5428.92,,,
Adult Social Services,Adult Social Care Commissioning,HOCJ,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),08/10/2014,5428.92,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,22/10/2014,1650,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,2735.04,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,2850,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,1650,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,09/10/2014,1785,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,08/10/2014,1785,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,08/10/2014,1725,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,BROMFORD HOUSING ASSOCIATION LIMITED,16/10/2014,12756.83,,,
Adult Social Services,Assessment & Case Management,HLAB,Supplies & Services,Other Services,WRAGGE LAWRENCE GRAHAM & CO,31/10/2014,1500,,,
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,22/10/2014,449.56,,,
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,06/10/2014,449.56,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,23934.94,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,24/10/2014,2209,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,22/10/2014,2274.64,,,
Adult Social Services,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,09/10/2014,-1650,,,
Adult Social Services,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,Finefutures Lrd,30/10/2014,3987.9,,,
Adult Social Services,Assessment & Case Management,HLCK,Third Party Payments,Residential Expenditure,VISION HOMES ASSOCIATION,22/10/2014,49176.6,,,
Adult Social Services,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,21/10/2014,53186.42,,,
Adult Social Services,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,20/10/2014,53186.42,,,
Adult Social Services,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,21/10/2014,132965.89,,,
Adult Social Services,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,20/10/2014,132965.89,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,500,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,300,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,299,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,300,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,500,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,500,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,16/10/2014,382.5,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,17/10/2014,485,,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,27/10/2014,369.82,,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,01/10/2014,368.63,,,
Adult Social Services,Care & Support,HHAC,Supplies & Services,Conference Expenses,ADASS,08/10/2014,450,,,
Adult Social Services,Care & Support,HHAC,Supplies & Services,Consultants Fees,CAPITA BUSINESS SERVICES LTD 60864978,20/10/2014,46434.28,,,
Adult Social Services,Personalisation Support & Service Provision,HMAC,Supplies & Services,Equipment - Purchase,RNIB SERVICES LIMITED,21/10/2014,297.78,,,
Adult Social Services,Personalisation Support & Service Provision,HMAP,Supplies & Services,Other Expenses,PHS GROUP LTD,01/10/2014,314.88,,,
Adult Social Services,Personalisation Support & Service Provision,HMBC,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,21/10/2014,160,,,
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Dr Consultants Fees,Redacted Personal Information,21/10/2014,175.71,,,
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Dr Consultants Fees,Redacted Personal Information,21/10/2014,195.99,,,
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Supportive Lodgings,THE ARLESTON INN HOTEL,03/10/2014,166.67,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,17/10/2014,677.51,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JCAK,Supplies & Services,Other Services,Beacon C&C,20/10/2014,7875.95,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,10/10/2014,3000,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,29/10/2014,3013.1,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,29/10/2014,3000,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,SEFAT CONSULTANCY SERVICES,29/10/2014,249.9,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,TELFORD INTERNATIONAL CENTRE,29/10/2014,570.25,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Subscriptions,DARTINGTON HALL TRUST,30/10/2014,15000,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Advertising,REED BUSINESS INFORMATION LTD,22/10/2014,4013,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,03/10/2014,450,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,03/10/2014,315,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,CORE ASSETS CHILDREN'S SERVICES LIMITED,03/10/2014,480,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,CENTRAL PARK NURSERY,03/10/2014,231,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,CENTRAL PARK NURSERY,03/10/2014,396,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,03/10/2014,132.9,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,30/10/2014,759,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,02/10/2014,1432.2,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,10/10/2014,786.9,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,20/10/2014,1882.5,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,10/10/2014,1760,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Gateway Psychology,29/10/2014,1375,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Integrate Families Ltd,10/10/2014,1440,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LUCID RESEARCH LTD,10/10/2014,146.38,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,10/10/2014,663,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,02/10/2014,912.6,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,22/10/2014,491.4,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,29/10/2014,187.2,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,30/10/2014,277.12,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,30/10/2014,385.21,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,10/10/2014,325.59,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,10/10/2014,291.15,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,29/10/2014,327.98,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,LITTLE DRAGONS PRE-SCHOOL,23/10/2014,298.10,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,03/10/2014,113.80,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Employees,Childcare Provision,ABACUSDAY NURSERY,03/10/2014,135.68,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,03/10/2014,249.80,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Supplies & Services,Legal,LANYON BOWDLER SOLICITORS,03/10/2014,150.00,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,BUSY BEES AT TELFORD PARKWAY,16/10/2014,706.34,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,BUSY BEES AT TELFORD PARKWAY,31/10/2014,-706.34,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,CENTRAL PARK NURSERY,03/10/2014,619.50,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,CENTRAL PARK NURSERY,03/10/2014,"1,070.50",,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,Redacted Personal Information,03/10/2014,450.00,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Above N beyond Limited,07/10/2014,114.7,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Carefirst Services Limited,31/10/2014,114.7,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Carefirst Services Limited,29/10/2014,229.4,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,01/10/2014,229.4,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,31/10/2014,229.4,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,251.54,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,251.54,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,243.43,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,227.2,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,129.83,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,227.2,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,31/10/2014,251.54,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,20/10/2014,1714.2,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,07/10/2014,163.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,31/10/2014,245.79,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,31/10/2014,163.86,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,06/10/2014,114.9,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,31/10/2014,114.6,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,31/10/2014,286.5,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,20/10/2014,229.4,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,20/10/2014,1245.96,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,20/10/2014,1142.84,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,20/10/2014,999,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,20/10/2014,5714.2,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Above N beyond Limited,07/10/2014,2237.2,,,
