Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Adult Care & Support,Access & Enablement,HOAC,Transport-Related Expenditure,Mileage,ROYAL VOLUNTARY SERVICES,03/10/2013,632.52,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,03/10/2013,902,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,10/10/2013,1439.8,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,09/10/2013,232.1,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,04/10/2013,100.57,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,21/10/2013,188.68,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,22/10/2013,125,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,22/10/2013,1785,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PivoTell Ltd,23/10/2013,184,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,09/10/2013,1653,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,17/10/2013,2100,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SMITCARE LTD,17/10/2013,1170,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,17/10/2013,194,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,14/10/2013,5445,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,14/10/2013,542.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,03/10/2013,982.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,JENX LIMITED,25/10/2013,247,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,JENX LIMITED,25/10/2013,223,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,02/10/2013,4250,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,03/10/2013,5467.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,03/10/2013,560,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,03/10/2013,6118.19,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,03/10/2013,136.01,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,09/10/2013,120.56,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,31/10/2013,150,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,01/10/2013,919.57,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,10/10/2013,595,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,08/10/2013,1776,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,01/10/2013,722.34,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,31/10/2013,307,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,21/10/2013,220,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,21/10/2013,220,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,24/10/2013,2036.86,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,21/10/2013,1453,
Adult Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,WE ARE THE CARE COMPANY LTD,08/10/2013,-138,
Adult Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,WE ARE THE CARE COMPANY LTD,08/10/2013,-133.5,
Adult Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,CAVENDISH HOMECARE SERVICES LTD,08/10/2013,-537.49,
Adult Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,CAVENDISH HOMECARE SERVICES LTD,08/10/2013,-202.77,
Adult Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,WE ARE THE CARE COMPANY LTD,08/10/2013,-555.5,
Adult Care & Support,Access & Enablement,HOAZ,Third Party Payments,Daycare Expenditure,CAVENDISH HOMECARE SERVICES LTD,08/10/2013,-261.31,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,ANGEL SPRINGS LIMITED,21/10/2013,128.31,
Adult Care & Support,Access & Enablement,HOBC,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,31/10/2013,225,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,330.44,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,565.73,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,14/10/2013,113.6,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,353.6,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/10/2013,792,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,29/10/2013,260,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,29/10/2013,284,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,14/10/2013,1193.15,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,14/10/2013,2600,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,14/10/2013,195,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,14/10/2013,540,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,02/10/2013,115.81,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,30/10/2013,6000,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,30/10/2013,2250,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,30/10/2013,3960,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,30/10/2013,843.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,30/10/2013,1395,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,30/10/2013,2160,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,30/10/2013,5280,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,15/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,02/10/2013,170.4,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/10/2013,-102.84,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,24/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,24/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,24/10/2013,431.84,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,25/10/2013,389.49,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,25/10/2013,462.52,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STUBLEYS WAREHOUSE,25/10/2013,169,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,02/10/2013,281.25,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,02/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,02/10/2013,1926.65,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,02/10/2013,283.45,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,02/10/2013,1910.93,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,02/10/2013,2829.86,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,02/10/2013,2829.86,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,02/10/2013,1910.93,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,02/10/2013,1607.1,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-3203.96,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,02/10/2013,1594.33,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,170.24,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,-469.44,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,24/10/2013,284,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,24/10/2013,1241.86,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/10/2013,1500,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,389.97,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,30/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,30/10/2013,1542.9,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,30/10/2013,4517.01,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,16/10/2013,270,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,16/10/2013,1213.52,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,16/10/2013,1213.52,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,1594.33,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,01/10/2013,2799.96,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,284,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,585,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,1328.66,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,664.33,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,1607.14,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,284,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,01/10/2013,1387.14,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,01/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,02/10/2013,1400.1,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,08/10/2013,1926.65,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,08/10/2013,2325,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,08/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-772.23,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-625.86,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-212.57,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-204.64,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-252.26,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,08/10/2013,-2136.59,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,08/10/2013,284,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,919.23,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/10/2013,201,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,843.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,17/10/2013,-451.5,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,29/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,29/10/2013,227.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,11/10/2013,-402,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,29/10/2013,2799.96,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,08/10/2013,-225,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/10/2013,332.01,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,STUBLEYS WAREHOUSE,24/10/2013,170,
Adult Care & Support,Access & Enablement,JCAF,Supplies & Services,Mobile Phones,ORANGE PCS LTD,17/10/2013,119,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,01/10/2013,48195,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),CHAIRS & SPARES,30/10/2013,5202,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,30/10/2013,618.72,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Translation Services,VISS LTD,24/10/2013,155,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Mobile Phones,ORANGE PCS LTD,02/10/2013,119,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,Graphics and Print (Telford) Ltd,22/10/2013,125,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,TUDOR PRINT & SIGNS,11/10/2013,108,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,21/10/2013,4333.71,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,21/10/2013,4193.91,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,-4650.29,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,89575.45,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,86210.84,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,07/10/2013,10260.9,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,61475.21,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,59492.14,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,13549.87,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,13112.79,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION,01/10/2013,7666.25,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,21/10/2013,56400.6,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,40558.7,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,07/10/2013,5487.7,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,07/10/2013,48397.88,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,14/10/2013,28252.61,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,14/10/2013,4390.16,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,35025.11,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,21/10/2013,51156.65,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,30/10/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,30/10/2013,37739.57,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,30/10/2013,45287.49,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,30/10/2013,31869,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,30/10/2013,29718.32,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,30/10/2013,73864,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,31/10/2013,156481,
Adult Care & Support,Assessment & Case Management,HLAL,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,21/10/2013,11223.17,
Adult Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,VISION HOMES ASSOCIATION,18/10/2013,49176.6,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,18/10/2013,11377.81,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,18/10/2013,1650,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,18/10/2013,1785,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,18/10/2013,2735.04,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Daycare Expenditure,BOURNVILLE VILLAGE TRUST,18/10/2013,1725,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,WE ARE THE CARE COMPANY LTD,08/10/2013,-138,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,08/10/2013,-1212.97,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,CAVENDISH HOMECARE SERVICES LTD,08/10/2013,-930.04,
Adult Care & Support,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,31/10/2013,33026.38,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,31/10/2013,158875.87,
Adult Care & Support,Assessment & Case Management,HOAL,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,08/10/2013,-215.96,
Adult Care & Support,Assessment & Case Management,HOAL,Third Party Payments,Homecare Expenditure,CAVENDISH HOMECARE SERVICES LTD,08/10/2013,-147.95,
Adult Care & Support,Assessment & Case Management,HOAL,Third Party Payments,Homecare Expenditure,HEADWAY SHROPSHIRE,08/10/2013,112.5,
Adult Care & Support,Assessment & Case Management,HOAL,Third Party Payments,Homecare Expenditure,HEADWAY SHROPSHIRE,08/10/2013,112.5,
Adult Care & Support,Assessment & Case Management,HOAL,Third Party Payments,Homecare Expenditure,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,09/10/2013,10835.55,
