Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,PivoTell Ltd,16/10/2018," 2,683.50 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,11/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,29/10/2018," 6,301.66 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Chanter Biomed Healthcare Ltd,30/10/2018," 1,404.02 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Chanter Biomed Healthcare Ltd,30/10/2018, 108.45 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Wealden & Eastbourne Lifeline (WELBEING),24/10/2018, 191.52 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Wealden & Eastbourne Lifeline (WELBEING),24/10/2018, 191.52 
Adult Social Care,Community Early Help,Employees,Training Expenses,A1 Risk Solutions Ltd,09/10/2018, 495.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,STANNAH LIFT SERVICES LTD,17/10/2018, 250.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,17/10/2018," 1,407.00 "
Adult Social Care,Community Early Help,Supplies & Services,Security Services,SECURITY WISE LTD,09/10/2018, 343.00 
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,Northwood Grange Cattery,09/10/2018," 1,478.88 "
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),Healthwatch,19/10/2018," 25,000.00 "
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,SALOP MEDICAL SERVICES (UK) LTD,29/10/2018, 300.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Private Contractors,Engaging Communities Staffordshire CIC,01/10/2018," 2,487.50 "
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,23/10/2018," 1,346.40 "
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,25/10/2018, 122.50 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,27/10/2018, 168.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,14/10/2018, 144.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,ULTIMATE TAXIS LTD,14/10/2018, 270.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,14/10/2018, 220.80 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,14/10/2018, 183.60 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,14/10/2018," 1,346.40 "
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,14/10/2018, 214.20 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,ULTIMATE TAXIS LTD,14/10/2018, 256.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,ULTIMATE TAXIS LTD,14/10/2018, 128.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,ULTIMATE TAXIS LTD,14/10/2018, 312.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,ULTIMATE TAXIS LTD,14/10/2018, 360.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,14/10/2018, 150.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,14/10/2018, 120.00 
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),REDACTED PERSONAL INFORMATION,23/10/2018, 107.15 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),29/10/2018, 528.48 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),29/10/2018, 631.24 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),29/10/2018, 205.52 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,17/10/2018, 105.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,17/10/2018, 112.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,17/10/2018, 201.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,17/10/2018, 448.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),25/10/2018," 54,600.30 "
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),25/10/2018," 2,873.70 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),25/10/2018," 55,620.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 171.96 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 352.32 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/10/2018," 38,597.14 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/10/2018," 5,781.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),23/10/2018," 3,593.58 "
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,17/10/2018," 11,981.85 "
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,17/10/2018," 12,146.94 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),25/10/2018," 57,694.70 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,25/10/2018," 7,698.88 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,14/10/2018," 30,775.24 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,14/10/2018," 32,427.43 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,14/10/2018," 2,937.15 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,14/10/2018," 2,937.15 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,14/10/2018," 25,186.91 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,220.40 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018, 698.20 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,116.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 3,811.40 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 3,172.40 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 2,292.92 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 4,531.38 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,397.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,056.29 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018, 996.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 2,660.51 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,249.70 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,212.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,18/10/2018," 1,784.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 3,245.60 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,697.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 822.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,095.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 563.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 596.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 4,596.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 583.60 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 706.27 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 608.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 704.71 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 365.20 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,510.40 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 540.40 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,181.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,099.60 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 573.60 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 608.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,117.76 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,264.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,921.70 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 507.20 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 566.44 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 576.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,013.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,128.62 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,572.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 996.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,214.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,596.44 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,386.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 423.20 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,020.70 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 608.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 713.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,444.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 607.60 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 588.16 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 414.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 810.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 3,597.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 323.60 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,077.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,149.60 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 568.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 708.60 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 574.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,845.44 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,760.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,819.74 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,110.71 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 570.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,729.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 240.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,675.96 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 215.04 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,425.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 4,540.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 526.40 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,130.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,186.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 216.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 723.72 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 668.71 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,112.00 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 3,827.60 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 743.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 916.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 509.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 566.40 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 273.60 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,384.40 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,998.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 1,090.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 2,455.60 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018," 4,260.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,19/10/2018, 588.40 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Oleander House - Sanctuary Housing,04/10/2018," 3,647.64 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Ignite Health and Homecare Services Limited,30/10/2018, 256.90 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Ignite Health and Homecare Services Limited,30/10/2018, 256.90 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Ignite Health and Homecare Services Limited,30/10/2018, 256.90 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Ignite Health and Homecare Services Limited,30/10/2018, 256.90 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,23/10/2018," 3,312.80 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,23/10/2018," 1,258.40 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,23/10/2018, 950.40 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,23/10/2018," 1,120.49 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,23/10/2018, 353.20 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,23/10/2018," 1,256.71 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (TF2),23/10/2018," 5,209.20 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Lorac Healthcare Ltd,25/10/2018, 825.75 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Lorac Healthcare Ltd,25/10/2018, 836.76 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),25/10/2018, 411.04 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),25/10/2018," 1,515.71 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Lorac Healthcare Ltd,25/10/2018, 851.44 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),25/10/2018, 403.70 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Rose Manner Extra Care (Sanctuary),25/10/2018," 1,486.35 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 227.54 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 616.56 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 322.96 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 513.80 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 411.04 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 381.68 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 513.80 
