Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Muxton Pharmacy,15/12/2014,120.00,,
Adult Social Services,Access & Enablement,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,16/12/2014,"6,301.66",,
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),POHWER,30/12/2014,"3,259.11",,
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),POHWER,30/12/2014,"7,634.33",,
Adult Social Services,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),BRIDGE HOUSE CARE LTD,23/12/2014,450.00,,
Adult Social Services,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),BRIDGE HOUSE CARE LTD,23/12/2014,450.00,,
Adult Social Services,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),ICare (GB) Limited,23/12/2014,"2,528.10",,
Adult Social Services,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),ICare (GB) Limited,23/12/2014,"3,662.30",,
Adult Social Services,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),SHREWSBURY & TELFORD HOSPITAL NHS TRUST,23/12/2014,"10,000.00",,
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),31/12/2014,"61,773.70",,
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),31/12/2014,"12,240.08",,
Adult Social Services,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION,30/12/2014,"8,381.77",,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,09/12/2014,"7,159.04",,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/12/2014,"27,692.37",,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/12/2014,"37,173.42",,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/12/2014,"-2,053.29",,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/12/2014,"31,391.25",,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,09/12/2014,"44,608.11",,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,WREKIN HOUSING TRUST (CARE SUPPORT PYMTS ONLY),29/12/2014,"13,245.66",,
Adult Social Services,Assessment & Case Management,HOAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,19/12/2014,-154.00,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,17/12/2014,"1,280.25",,
Adult Social Services,Assessment & Case Management,HOBY,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,22/12/2014,"15,214.36",,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,19/12/2014,200.00,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,19/12/2014,490.00,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,09/12/2014,528.00,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,29/12/2014,170.00,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,29/12/2014,500.00,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),TELFORD COLLEGE OF ARTS & TECHNOLOGY,19/12/2014,275.00,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES ,01/12/2014,369.82,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES ,30/12/2014,369.82,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,19/12/2014, 677.51 ,,
Adult Social Services,Care & Support,HCTR,Supplies & Services,Advertising,PARTNERSHIP PUBLISHING LTD,12/12/2014,290.00,,
Adult Social Services,Personalisation Support & Service Provision,HMBB,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ,04/12/2014,"1,380.12",,
Adult Social Services,Personalisation Support & Service Provision,HMBJ,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST (INVOICES ONLY),15/12/2014,"1,033.40",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JCAK,Supplies & Services,Other Services,Beacon C&C,10/12/2014,"7,463.35",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,10/12/2014,"2,400.00",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Agency Supply Costs,Hamptons Resourcing,10/12/2014,"1,800.00",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Staff Training,UNIVERSITY OF WOLVERHAMPTON ,03/12/2014,300.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,04/12/2014,520.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Section 17 Childrens Act,KEY ANGELS LTD,04/12/2014,125.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Legal,Psyben Limited,04/12/2014,102.05,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Other Services,RELATE SHROPSHIRE & HEREFORDSHIRE LTD,17/12/2014,150.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Translation Services,UK Language Solutions Ltd,04/12/2014,130.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Legal,Wright McMillian Bennett Law,04/12/2014,300.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Employees,Staff Training,WEST MERCIA POLICE AUTHORITY,12/12/2014,202.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Employees,Staff Training,WEST MERCIA POLICE AUTHORITY,12/12/2014,272.62,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,12/12/2014,195.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Legal Expenses,CARTER BROWN LIMITED,12/12/2014,"3,100.65",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Supplies & Services,Legal,Psyben Limited,12/12/2014,258.10,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,12/12/2014,218.15,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,12/12/2014,561.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,12/12/2014,211.80,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ALPHA BIOLABORATORIES LIMITED,10/12/2014,580.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ALPHA BIOLABORATORIES LIMITED,31/12/2014,570.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,09/12/2014,"1,608.00",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,29/12/2014,"2,223.00",,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,J.A. FOULKES LTD,04/12/2014,442.90,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,J.A. FOULKES LTD,04/12/2014,516.15,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,J.A. FOULKES LTD,04/12/2014,770.75,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,J.A. FOULKES LTD,04/12/2014,232.80,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,04/12/2014,656.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,RGT TRAINING & CONSULTANCY,09/12/2014,750.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,29/12/2014,300.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,15/12/2014,440.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,CL - External Accommodation,Madeley Lettings,04/12/2014,175.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,17/12/2014,291.15,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,12/12/2014,329.10,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,04/12/2014,326.81,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,12/12/2014,113.80,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Transport-Related Expenditure,Travelling Expenses General,CENTRAL TAXIS LTD T/A GO CARZ ,23/12/2014,171.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Transport-Related Expenditure,Travelling Expenses General,CENTRAL TAXIS LTD T/A GO CARZ ,23/12/2014,180.50,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Supplies & Services,Section 17 Childrens Act,Maybach Lettings,12/12/2014,705.00,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,BUSY BEES AT TELFORD PARKWAY,10/12/2014,353.17,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,10/12/2014,323.50,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Above N beyond Limited,30/12/2014,"1,282.90",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Above N beyond Limited,23/12/2014,"1,757.20",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,23/12/2014,200.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,31/12/2014,200.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,12/12/2014,400.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,05/12/2014,200.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Legal Expenses,Braith Solicitors,12/12/2014,601.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Carefirst Services Limited,30/12/2014,229.40,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,17/12/2014,"2,799.96",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/12/2014,"3,100.00",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/12/2014,"2,799.96",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,03/12/2014,"2,799.96",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,17/12/2014,329.40,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,17/12/2014,229.40,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,30/12/2014,330.75,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,23/12/2014,229.32,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,29/12/2014,"1,372.86",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,15/12/2014,"1,328.57",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,23/12/2014,"1,071.43",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/12/2014,"1,285.80",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,23/12/2014,482.14,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,23/12/2014,150.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,23/12/2014,321.43,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,23/12/2014,"1,660.71",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,23/12/2014,600.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,23/12/2014,114.60,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,17/12/2014,"1,646.82",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,17/12/2014,"1,646.82",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,ARGOS BUSINESS SOLUTIONS,23/12/2014,108.32,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,REDACTED PERSONAL INFORMATION,12/12/2014,150.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Ex Catologue Furniture Shop,29/12/2014,325.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Shropshire Community Project,23/12/2014,259.99,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Staff Training,WEST MERCIA POLICE AUTHORITY,12/12/2014,202.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Staff Training,WEST MERCIA POLICE AUTHORITY,12/12/2014,272.63,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,12/12/2014,140.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,12/12/2014,140.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,12/12/2014,140.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,12/12/2014,142.35,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,12/12/2014,360.00,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,12/12/2014,211.80,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Travelling Expenses General,EXPOTEL HOTEL RESERVATIONS LIMITED,12/12/2014,100.80,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,17/12/2014,"3,516.33",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,17/12/2014,"3,516.33",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,By The Bridge,18/12/2014,"4,738.57",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CAMBIAN GROUP T/A THE ADVANCED CHILDCARE GROUP,16/12/2014,"3,253.20",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,29/12/2014,"4,217.55",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,23/12/2014,"4,130.75",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,10/12/2014,"3,412.00",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,29/12/2014,"2,611.44",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,29/12/2014,"4,017.60",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,01/12/2014,"-5,323.94",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,29/12/2014,"5,247.21",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,29/12/2014,"3,430.99",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,29/12/2014,"3,265.60",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,22/12/2014,"3,428.82",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,18/12/2014,"3,376.74",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Foundation Fostering,17/12/2014,"3,596.00",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"3,520.67",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"3,077.99",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"3,210.67",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"3,344.59",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"3,344.59",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"3,244.46",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,18/12/2014,"5,247.99",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,17/12/2014,"3,344.59",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,17/12/2014,"3,050.09",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,17/12/2014,"3,244.46",,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,17/12/2014,"3,277.63",,
