Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,06/02/2013,110.00,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,14/02/2013,172.50,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,14/02/2013,285.00,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,01/02/2013,531.12,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ASSOCIATED OPTICAL PRODUCTS,25/02/2013,362.00,
Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,25/02/2013,125.00,
Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,25/02/2013,125.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,13/02/2013,165.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,06/02/2013,"6,500.24",
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,06/02/2013,550.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,27/02/2013,313.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,HEREFORDSHIRE COUNCIL,13/02/2013,500.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,15/02/2013,"1,750.00",
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,18/02/2013,444.70,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,05/02/2013,250.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,20/02/2013,175.50,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,07/02/2013,432.20,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MIDEQUIP LTD,21/02/2013,304.50,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AV10 Limited,14/02/2013,640.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,01/02/2013,703.00,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,20/02/2013,122.96,
Care & Support,Access & Enablement,HOBC,Supplies & Services,Furniture - Purchase,BACK CARE SOLUTIONS LTD,18/02/2013,115.00,
Care & Support,Access & Enablement,HOCN,Supplies & Services,Equipment - Purchase,WHITEFOOTS LIMITED,05/02/2013,429.40,
Care & Support,Access & Enablement,HOCN,Supplies & Services,Printing - Other,TAWS PRINTERS LTD,01/02/2013,136.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,21/02/2013,728.62,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,21/02/2013,800.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,07/02/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,07/02/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,225.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,171.44,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/02/2013,843.20,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/02/2013,668.46,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,07/02/2013,225.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,971.38,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,985.78,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,"1,714.28",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,"2,790.20",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,"4,992.96",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/02/2013,"1,624.05",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,15/02/2013,225.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,06/02/2013,299.24,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,06/02/2013,249.24,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,06/02/2013,"2,171.86",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,06/02/2013,931.24,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,28/02/2013,"1,200.00",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/02/2013,225.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/02/2013,"11,571.39",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,06/02/2013,814.06,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/02/2013,"8,433.98",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/02/2013,"11,717.76",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/02/2013,"11,245.74",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/02/2013,364.31,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/02/2013,180.04,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/02/2013,"6,797.99",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/02/2013,"13,485.67",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/02/2013,241.50,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,07/02/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,07/02/2013,225.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,07/02/2013,331.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/02/2013,225.00,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/02/2013,"6,864.92",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/02/2013,"3,321.34",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/02/2013,"11,454.87",
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,05/02/2013,"6,348.63",
Care & Support,Access & Enablement,HOCM,Employees,Agency Supply Costs,MEDICONNECT RECRUITMENT LTD,21/02/2013,"1,128.06",
Care & Support,Access & Enablement,HOCM,Employees,Agency Supply Costs,MEDICONNECT RECRUITMENT LTD,21/02/2013,947.52,
Care & Support,Access & Enablement,HOCM,Employees,Agency Supply Costs,MEDICONNECT RECRUITMENT LTD,21/02/2013,"1,064.10",
Care & Support,Adult Social Care Commissioning,HHAB,Supplies & Services,Equipment - Hire,XEROX (UK) LTD,25/02/2013,252.99,
Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),WRVS,25/02/2013,"6,305.12",
Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),AGE CONCERN SHROPS TELFORD & WREKIN,25/02/2013,"5,532.00",
Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,15/02/2013,544.56,
Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Other Grants (Expenses),Raft ( Rights and Fairness Telford),18/02/2013,"7,200.00",
Care & Support,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),WYLDWOODS LTD,01/02/2013,"4,200.00",
Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,27/02/2013,"4,127.34",
Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,25/02/2013,"13,380.04",
Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,25/02/2013,"12,085.20",
Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"85,887.64",
Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"12,238.60",
Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"13,549.87",
Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"61,475.21",
Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"55,526.00",
Care & Support,Adult Social Care Commissioning,HOBL,Income,Rents - General,COVERAGE CARE SERVICES LTD,25/02/2013,"22,180.32",
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,25/02/2013,164.37,
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,25/02/2013,"5,487.70",
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"52,105.90",
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"51,076.56",
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,27/02/2013,"52,673.78",
Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,26/02/2013,"6,301.66",
Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,20/02/2013,"6,301.66",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,13/02/2013,"31,024.37",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,01/02/2013,"37,273.75",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,01/02/2013,"31,024.37",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,01/02/2013,"44,728.50",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,01/02/2013,"27,144.32",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,13/02/2013,"27,144.32",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,13/02/2013,"37,273.75",
Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,13/02/2013,"44,728.50",
Care & Support,Adult Social Care Commissioning,HOCJ,Supplies & Services,Other Services,BRITISH RED CROSS SOCIETY,13/02/2013,"5,645.79",
Care & Support,Assessment & Case Management,HLAB,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,04/02/2013,246.00,
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NORTH STAFFS COMBINED HEALTHCARE,04/02/2013,"11,938.42",
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,27/02/2013,"52,160.33",
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,27/02/2013,"122,907.17",
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,27/02/2013,"24,621.33",
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NORTH STAFFS COMBINED HEALTHCARE,06/02/2013,"11,938.42",
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,"1,712.62",
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,"1,758.12",
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,"1,893.36",
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,"1,893.36",
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,483.00,
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,"1,352.40",
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,STONHAM HOUSING ASSOCIATION LIMITED,15/02/2013,"1,467.96",
Care & Support,Assessment & Case Management,HLCK,Premises-Related Expenditure,Dilapidations,REDACTED PERSONAL INFORMATION,18/02/2013,"3,000.00",
Care & Support,Assessment & Case Management,HLCK,Third Party Payments,Residential Expenditure,The David Lewis Centre,14/02/2013,"-11,762.80",
Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,27/02/2013,"61,163.00",
Care & Support,Assessment & Case Management,HOAH,Transport-Related Expenditure,Transport,NSL Limited t/a Patient First Group,04/02/2013,107.48,
Care & Support,Assessment & Case Management,HOAH,Third Party Payments,Nursing Expenditure,SHROPSHIRE PEER COUNSELLING & ADVOCACY  SERV,04/02/2013,190.00,
Care & Support,Assessment & Case Management,HOAL,Third Party Payments,Homecare Expenditure,THE WREKIN HOUSING TRUST,04/02/2013,222.08,
Care & Support,Assessment & Case Management,HOBN,Transport-Related Expenditure,Transport,NSL Limited t/a Patient First Group,19/02/2013,316.22,
Care & Support,Assessment & Case Management,HOCK,Transport-Related Expenditure,Transport,BRITISH RED CROSS SOCIETY,25/02/2013,115.20,
Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Other Expenses,NACRO,13/02/2013,"4,500.00",
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,14/02/2013,409.15,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,22/02/2013," 1,080.10 ",
Care & Support,Care & Support,HCAH,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,13/02/2013,129.55,
Care & Support,Care & Support,HHAL,Premises-Related Expenditure,Hire Of Rooms,THE SILVER THREADS HALL,18/02/2013,110.00,
Care & Support,Mental Health & Substance Misuse,HMAN,Supplies & Services,Comp Software (Purch / Hire),ACTION FOR BLIND PEOPLE,21/02/2013,461.40,
Care & Support,Mental Health & Substance Misuse,HMBB,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/02/2013,459.65,
Care & Support,Mental Health & Substance Misuse,HMBC,Third Party Payments,Daycare Expenditure,TELFORD MIND,22/02/2013,"10,439.36",
Care & Support,Mental Health & Substance Misuse,HMBG,Supplies & Services,Grants To Voluntary Organis,TELFORD & WREKIN PCT,22/02/2013,"6,276.40",
Care & Support,Mental Health & Substance Misuse,HMBJ,Third Party Payments,Residential Expenditure,D B ROBERTS,22/02/2013,199.99,
Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Translation Services,PEARL LINGUISTICS LTD,26/02/2013,274.65,
Care & Support,Personalisation Support & Service Provision,HMAJ,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,14/02/2013,"24,206.00",
Care & Support,Personalisation Support & Service Provision,HMAJ,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,20/02/2013,"12,102.00",
Care & Support,Personalisation Support & Service Provision,HMBL,Supplies & Services,Protective Clothing,SEVERN TRENT WATER LTD,18/02/2013,548.76,
Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,18/02/2013,176.80,
Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,18/02/2013,176.80,
Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,18/02/2013,221.00,
Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,25/02/2013,266.40,
Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,14/02/2013,423.94,
Care & Support,Personalisation Support & Service Provision,HLBB,Income,Other Contributions,Ealing Council,07/02/2013,"1,235.43",
Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/02/2013,209.04,
Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,04/02/2013,186.70,
Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,04/02/2013,133.81,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Equipment - Purchase,QUEST 88 LIMITED,26/02/2013,"1,350.00",
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Equipment - Purchase,QUEST 88 LIMITED,26/02/2013,"5,313.75",
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Equipment - Purchase,QUEST 88 LIMITED,26/02/2013,258.23,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Equipment - Purchase,QUEST 88 LIMITED,26/02/2013,"1,578.02",
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,04/02/2013,169.26,
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,05/02/2013,119.32,
Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,28/02/2013,"1,588.70",
Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,13/02/2013,"-1,805.34",
Care & Support,Personalisation Support & Service Provision,HLDB,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,21/02/2013,684.80,
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,28/02/2013,221.13,
Care & Support,Personalisation Support & Service Provision,HLEB,Capital Financing Costs,Leased Equipment,AE PROPERTY MAINTENANCE,27/02/2013,"-7,888.56",
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,PRIORITY CARE (SHROPSHIRE) LTD,07/02/2013,497.25,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,07/02/2013,185.80,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,28/02/2013,612.86,
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,21/02/2013,712.85,
Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Trade Refuse,PHS GROUP LTD,21/02/2013,232.00,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,COUNTRYWIDE HEALTHCARE SUPPLIES LTD,07/02/2013,144.50,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,07/02/2013,286.80,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Pocket Money/Home Leave,REDACTED PERSONAL INFORMATION,21/02/2013,542.13,
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Pocket Money/Home Leave,REDACTED PERSONAL INFORMATION,21/02/2013,256.72,
Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,RICOH UK LIMITED,07/02/2013,101.53,
Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,RICOH UK LIMITED,07/02/2013,279.62,
Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,21/02/2013,500.14,
Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,07/02/2013,286.31,
Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,PRIORITY CARE (SHROPSHIRE) LTD,07/02/2013,135.00,
Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,28/02/2013,140.80,
Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,21/02/2013,294.21,
Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,21/02/2013,"1,114.15",
Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,21/02/2013,569.35,
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Water Rates,CARESHOP LIMITED,21/02/2013,246.05,
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,28/02/2013,162.20,
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS ALL CLEAR,21/02/2013,"1,085.50",
Care & Support,Personalisation Support & Service Provision,HLEE,Employees,Training Expenses,SHROPSHIRE COUNCIL,18/02/2013,180.00,
Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,26/02/2013,267.66,
Care & Support,Personalisation Support & Service Provision,HLEE,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,15/02/2013,525.42,
Children´s Safeguarding,Case Management & Children in Care,JAAD,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,07/02/2013,113.72,
Children´s Safeguarding,Case Management & Children in Care,JMAB,Supplies & Services,Doctors Fees,TRIMEGA LABORATORIES LTD,11/02/2013,173.75,
Children´s Safeguarding,Case Management & Children in Care,JMAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,27/02/2013,355.00,
Children´s Safeguarding,Case Management & Children in Care,JMAB,Supplies & Services,Other Services,CONNECT CONTACT CENTRES,19/02/2013,"3,494.96",
