Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Consultants Fees,PRICEWATERHOUSECOOPERS,21/06/2018,"2,945.00"
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Legal Expenses,REDACTED PERSONAL INFORMATION,11/06/2018,525
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Comp Software (Purch / Hire),CONCERTO SUPPORT SERVICES LTD,28/06/2018,"5,000.00"
"Business, Development & Employment",Development Management & Planning Policy,Employees,Professional Subs,HQN LTD,21/06/2018,820
"Business, Development & Employment",Development Management & Planning Policy,Employees,Professional Subs,HQN LTD,12/06/2018,"1,095.00"
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,21/06/2018,277.2
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,28/06/2018,249.48
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,29/06/2018,166.32
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,04/06/2018,249.48
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,19/06/2018,249.48
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Consultants Fees,READING AGRICULTURAL CONSULTANTS,28/06/2018,575
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,LABC,11/06/2018,560
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Be Bold Media Limited,11/06/2018,"1,125.00"
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,21/06/2018,"1,339.50"
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,21/06/2018,"1,348.86"
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,04/06/2018,"1,011.90"
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,04/06/2018,"1,312.26"
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Administrative/Office Supplies,Impact Test Equipment Ltd,11/06/2018,465
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,21/06/2018,"2,160.00"
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,21/06/2018,910
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,21/06/2018,880
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,11/06/2018,"1,000.00"
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Equipment - Purchase,RSK ADAD Ltd,29/06/2018,360
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Building Regs & Planning Fees,FITZGERALD CONTRACTORS LTD,22/06/2018,"18,125.03"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Morris Property Ltd,22/06/2018,"24,991.91"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Lost World Media,22/06/2018,218.86
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Skylens Photography & Video Ltd,13/06/2018,295
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PINSENT MASONS LLP,04/06/2018,533.29
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Reacted Personal Information,04/06/2018,"1,632.00"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,Morris Property Ltd,07/06/2018,"473,231.13"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Other Capital Expenditure,PINSENT MASONS LLP,04/06/2018,"51,411.87"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,18/06/2018,"23,603.31"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Land Purchase,HM Revenue & Customs,04/06/2018,"21,575.00"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,19/06/2018,"530,738.93"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,GROUND INVESTIGATION & PILING LTD,22/06/2018,828.5
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,FITZGERALD CONTRACTORS LTD,07/06/2018,"163,661.89"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Marketing / Advertising,VPS (UK) LTD,13/06/2018,"1,160.84"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,Reacted Personal Information,13/06/2018,-102.8
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,Reacted Personal Information,13/06/2018,-118.37
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,Turley Associates Limited,13/06/2018,"1,676.25"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,SHROPSHIRE WILDLIFE SURVEYS,13/06/2018,180
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Site Investigation,MARLOW CONSULTING LTD,18/06/2018,580
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,Turley Associates Limited,18/06/2018,"1,282.50"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,External Professional Fees,Reacted Personal Information,04/06/2018,536.01
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Legal Fees,FREETHS LLP,04/06/2018,"18,000.00"
"Business, Development & Employment",Estates & Investment,Capital Expenditure,Asset Disposal Costs,REDACTED PERSONAL INFORMATION,06/06/2018,"1,952.50"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Planned Repairs,BRITISH GAS BUSINESS ELEC ,19/06/2018,273.28
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,21/06/2018,128.99
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ELEC ,08/06/2018,446.99
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ELEC ,08/06/2018,250.39
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,13/06/2018,302.28
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,EDF ENERGY CUSTOMERS PLC,27/06/2018,"14,675.01"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,04/06/2018,"5,668.87"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,06/06/2018,"34,227.33"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,HYDRO-TECH ENVIRONMENTAL LLP,14/06/2018,151.2
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,HYDRO-TECH ENVIRONMENTAL LLP,15/06/2018,150
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,HYDRO-TECH ENVIRONMENTAL LLP,20/06/2018,240
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,22/06/2018,603.33
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,05/06/2018,713
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,05/06/2018,692.61
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,20/06/2018,"1,524.39"
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,CreditCall Limited,20/06/2018,491.58
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/06/2018,155.05
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/06/2018,304
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/06/2018,326.35
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,227.96
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,540
"Business, Development & Employment",Estates & Investment,Third Party Payments,Contractor Recharge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,199.98
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,12/06/2018,"1,996.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,12/06/2018,"2,996.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/06/2018,"4,000.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/06/2018,"6,000.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/06/2018,143.22
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/06/2018,909
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,01/06/2018,296.99
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/06/2018,900
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,19/06/2018,580
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/06/2018,138.92
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,208.48
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,138
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,"1,020.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,"2,813.60"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,21/06/2018,148.56
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/06/2018,230
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,26/06/2018,"1,221.56"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2018,"1,950.00"
"Business, Development & Employment",Estates & Investment,Third Party Payments,Contractor Recharge,WINDOW & DOOR CONTRACT SERVICES,20/06/2018,388.16
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -SCC Planned,FITZGERALD CONTRACTORS LTD,04/06/2018,"3,520.01"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,14/06/2018,258.6
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,14/06/2018,392.62
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,05/06/2018,495
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,05/06/2018,715
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,05/06/2018,495
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,NOBRIDGE LTD,26/06/2018,720
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,NOBRIDGE LTD,13/06/2018,949
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,NOBRIDGE LTD,20/06/2018,"1,188.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,NOBRIDGE LTD,20/06/2018,"1,000.00"
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,22/06/2018,160.9
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,01/06/2018,158
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,05/06/2018,160
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,20/06/2018,525.9
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,22/06/2018,105
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,22/06/2018,245.7
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,22/06/2018,180
