Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,01/07/2014,393
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,01/07/2014,158.88
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,01/07/2014,696.06
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,01/07/2014,846.54
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,01/07/2014,172.12
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,22/07/2014,147.62
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,22/07/2014,536.86
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,22/07/2014,980.25
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,22/07/2014,309.36
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,22/07/2014,34952
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,22/07/2014,17814
Adult Social Services,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),28/07/2014,3244.81
Adult Social Services,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),28/07/2014,90783.57
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),28/07/2014,61773.7
Adult Social Services,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),22/07/2014,288.86
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),28/07/2014,12240.08
Adult Social Services,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),22/07/2014,-1267.54
Adult Social Services,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,01/07/2014,15214.36
Adult Social Services,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,31/07/2014,15214.36
Adult Social Services,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION ,01/07/2014,7666.25
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),22/07/2014,47675.01
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,22/07/2014,7159.04
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/07/2014,38412.56
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/07/2014,30730.05
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/07/2014,32437.69
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/07/2014,28615.44
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,22/07/2014,37173.42
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,22/07/2014,31391.3
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,22/07/2014,27692.37
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST (INVOICES ONLY),30/07/2014,16462.44
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLAF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,30/07/2014,449.56
Adult Social Services,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,CREATIVE SUPPORT LTD,09/07/2014,1092
Adult Social Services,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,CREATIVE SUPPORT LTD,09/07/2014,1092
Adult Social Services,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,CREATIVE SUPPORT LTD,09/07/2014,1092
Adult Social Services,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,28/07/2014,73346.33
Adult Social Services,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,28/07/2014,107055.92
Adult Social Services,Assessment & Case Management,HOBN,Premises-Related Expenditure,Contract Cleaning,AE PROPERTY MAINTENANCE,28/07/2014,863
Adult Social Services,Assessment & Case Management,HOBN,Transport-Related Expenditure,Transport,NSL t/a NSL CARE SERVICES,07/07/2014,214.96
Adult Social Services,Care & Support,HHAC,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,17/07/2014,113.4
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,REDACTED PERSONAL INFORMATION ,11/07/2014,173.37
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,REDACTED PERSONAL INFORMATION ,11/07/2014,200.67
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,REDACTED PERSONAL INFORMATION ,11/07/2014,188.35
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,REDACTED PERSONAL INFORMATION ,11/07/2014,173.37
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,REDACTED PERSONAL INFORMATION ,17/07/2014,175.71
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,POHWER,11/07/2014,142.5
Adult Social Services,Personalisation Support & Service Provision,HMBJ,Third Party Payments,Residential Expenditure,Firs Riverside B & B,31/07/2014,240
Adult Social Services,Personalisation Support & Service Provision,HMBJ,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST (INVOICES ONLY),17/07/2014,1033.4
Adult Social Services,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,Acorn Kennels,11/07/2014,300
Adult Social Services,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,Acorn Kennels,17/07/2014,305
Adult Social Services,Personalisation Support & Service Provision,HOCP,Supplies & Services,Subscriptions,QUICKCALC LTD,17/07/2014,151.96
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JAAD,Premises-Related Expenditure,Trade Refuse,PHS DATASHRED,01/07/2014,-278.66
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JAAD,Premises-Related Expenditure,Trade Refuse,PHS DATASHRED,01/07/2014,278.66
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Conference Expenses,ADCS,10/07/2014,150
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Other Office Expenses,MEETING POINT TRUST LTD,20/07/2014,131.3
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Other Office Expenses,MEETING POINT TRUST LTD,20/07/2014,154.5
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAE,Supplies & Services,Comp Software (Purch / Hire),LIQUIDLOGIC LIMITED,10/07/2014,43253.29
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,Adoption Matters Northwest,20/07/2014,1194.42
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,Adoption Matters Northwest,20/07/2014,1194.42
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAA,Supplies & Services,Legal,St Ives Chambers,11/07/2014,2416.67
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,EARLYWORLD LIMITED,03/07/2014,525
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,03/07/2014,693
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,11/07/2014,874.74
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,11/07/2014,19931.06
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,11/07/2014,350
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,11/07/2014,350
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,11/07/2014,1350
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,11/07/2014,900
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,11/07/2014,490
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,10/07/2014,900
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,29/07/2014,1800
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,29/07/2014,999.96
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,29/07/2014,999.96
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,29/07/2014,900
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,11/07/2014,1400
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,11/07/2014,1050
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,11/07/2014,2563
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,11/07/2014,117
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,11/07/2014,2603.25
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,11/07/2014,1778.4
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,11/07/2014,3510
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,03/07/2014,246.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,11/07/2014,325.59
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Criminal Records Bureau Checks,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/07/2014,435.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/07/2014,289.44
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/07/2014,429.47
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/07/2014,418.12
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,03/07/2014,279.1
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Translation Services,UK Language Solutions Ltd,03/07/2014,260.25
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Employees,Childcare Provision,CENTRAL PARK NURSERY,30/07/2014,619.5
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Third Party Payments,Social Care External Contact,CONNECT CONTACT CENTRES,30/07/2014,484.8
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Transport-Related Expenditure,Contract Hire,DIAMOND CARS (TELFORD) LTD,30/07/2014,220
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,04/07/2014,666
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,04/07/2014,317
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Legal Expenses,Braith Solicitors,17/07/2014,474
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,18/07/2014,229.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,01/07/2014,6000
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,REDACTED PERSONAL INFORMATION ,18/07/2014,200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Ex Catologue Furniture Shop,18/07/2014,299
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Ex Catologue Furniture Shop,18/07/2014,145
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,HALFORDS LTD,29/07/2014,199.99
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,18/07/2014,229.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,18/07/2014,2799.96
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Travel Costs,IMPACTING LIVES LIMITED,04/07/2014,228
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,IMPACTING LIVES LIMITED,31/07/2014,2800
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,177.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,1417.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,251.54
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,1417.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,8632.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,731.43
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,4320
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,7880
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,1280
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/07/2014,-460
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,04/07/2014,239.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,04/07/2014,1620
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,17/07/2014,231.42
