Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,27/08/2014,-42564.42,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),01/08/2014,5428.92,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOCJ,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),01/08/2014,5428.92,,,,,,,
Adult Social Services,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,A J (TELFORD) SELF-STORAGE LTD,19/08/2014,1693.3,,,,,,,
Adult Social Services,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,26/08/2014,68380.23,,,,,,,
Adult Social Services,Assessment & Case Management,HOAL,Third Party Payments,Daycare Expenditure,HEADWAY SHROPSHIRE,19/08/2014,1512.5,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,26/08/2014,-714.36,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,26/08/2014,-164.53,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,26/08/2014,-336.64,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,26/08/2014,-261,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,26/08/2014,239.15,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,ADVANTAGE HEALTHCARE GROUP,26/08/2014,-236.92,,,,,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,20/08/2014,1320.54,,,,,,,
Adult Social Services,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,08/08/2014,500,,,,,,,
Adult Social Services,Assessment & Case Management,HPAB,Employees,Training Expenses,OLM SYSTEMS LTD,19/08/2014,1050,,,,,,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Comp Software (Purch / Hire),OLM SYSTEMS LTD,13/08/2014,4000,,,,,,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,07/08/2014,368.63,,,,,,,
Adult Social Services,Care & Support,HCTR,Supplies & Services,Other Grants (Expenses),Slivers of Time Limited,13/08/2014,"8,600.00",,,,,,,
Adult Social Services,Care & Support,HHAC,Supplies & Services,Conference Expenses,The National Skills Academy For Social Care,26/08/2014,799.00,,,,,,,
Adult Social Services,Care & Support,HHAC,Supplies & Services,Conference Expenses,The National Skills Academy For Social Care,26/08/2014,130.00,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMAB,Employees,Staff Training,Assistive Technology & Training,07/08/2014,1680,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,07/08/2014,180,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMBB,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),07/08/2014,534.69,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMBG,Supplies & Services,Consultants Fees,SANDWELL METROPOLITAN BOROUGH COUNCIL,07/08/2014,1127.1,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMBJ,Third Party Payments,Residential Expenditure,Acorn Kennels,06/08/2014,310,,,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,18/08/2014, 897.67 ,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,TELFORD INTERNATIONAL CENTRE,08/08/2014,563,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,TELFORD INTERNATIONAL CENTRE,08/08/2014,419.5,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,TELFORD INTERNATIONAL CENTRE,08/08/2014,250,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,SEFAT CONSULTANCY SERVICES,04/08/2014,253.9,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Subscriptions,TAMESIDE MBC,13/08/2014,267.42,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,SHROPSHIRE COUNCIL,08/08/2014,18997.31,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAA,Supplies & Services,Legal,St Ives Chambers,01/08/2014,1500,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Employees,Childcare Provision,CENTRAL PARK NURSERY,04/08/2014,528,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Other Services,RELATE SHROPSHIRE & HEREFORDSHIRE LTD,04/08/2014,175,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,13/08/2014,600,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,01/08/2014,560,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,01/08/2014,2590,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,CHILD TRAUMA INTERVENTION SERVICES,01/08/2014,1475,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,01/08/2014,1303.7,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,01/08/2014,6118.36,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,01/08/2014,2810,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,15/08/2014,600,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,01/08/2014,313.09,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,01/08/2014,325.59,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,01/08/2014,291.15,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Section 17 Childrens Act,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,01/08/2014,325.59,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,01/08/2014,164.50,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,01/08/2014,400.00,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODEN TOPS DAY NURSERY A/C 2862358,01/08/2014,434.76,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Employees,Childcare Provision,CENTRAL PARK NURSERY,04/08/2014,678.5,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,14/08/2014,287.25,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,01/08/2014,245.7,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,01/08/2014,245.7,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,28/08/2014,229.4,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,19/08/2014,229.4,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,114.6,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,12/08/2014,253.89,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,07/08/2014,286.75,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,01/08/2014,229.4,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,12/08/2014,163.8,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,CL - Travel Costs,IMPACTING LIVES LIMITED,20/08/2014,228,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/08/2014,1328.66,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,26/08/2014,1280.86,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/08/2014,218.92,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/08/2014,754.05,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,01/08/2014,3728.52,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,27/08/2014,3210.67,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,27/08/2014,932.13,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,12/08/2014,932.13,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,19/08/2014,240.8,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,19/08/2014,647.28,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,20/08/2014,2214.33,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,424.29,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,229.4,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Salop Lets,20/08/2014,383.52,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,20/08/2014,526.75,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,YMCA Black Country Group,20/08/2014,105,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,267.86,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,1071.5,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,4725,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,332.14,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,2507.1,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,1771.34,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,1714.2,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,2590.67,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,3107.1,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,724.99,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,07/08/2014,548.94,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,07/08/2014,1032.92,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,752.13,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,07/08/2014,1826.34,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/08/2014,1067.86,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,01/08/2014,692.15,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,Caer Keys Ltd,29/08/2014,495,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JCAB,Transfer Payments,Leaving Care Grant,NEXT STEP CARE MANAGEMENT LTD,20/08/2014,1125,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,07/08/2014,105,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,07/08/2014,105,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,07/08/2014,105,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,07/08/2014,105,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,19/08/2014,105,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3449.99,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,THE ADOLESCENT & CHILDRENS TRUST,13/08/2014,3003.9,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,04/08/2014,3277.76,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,04/08/2014,3244.33,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3233.3,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3175.64,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3380.86,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3311.73,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3233.3,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3077.99,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3233.3,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,13/08/2014,3167.27,,,,,,,
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,01/08/2014,872.62,,,,,,,
