Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount ,
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/05/2018," 5,781.00 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/05/2018," 57,694.70 ",
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Equipment - Purchase,SHROPSHIRE COUNCIL ,24/05/2018," 6,677.50 ",
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Telford and Wrekin Community Enterprise LTD,31/05/2018, 136.00 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Reacted personal Information ,11/05/2018," 1,140.00 ",
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/05/2018, 449.56 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/05/2018, 449.56 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/05/2018, 449.56 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/05/2018, 449.56 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/05/2018, 449.56 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/05/2018, 449.56 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,11/05/2018, 115.96 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ,31/05/2018, 127.68 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,31/05/2018, 466.18 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ,31/05/2018, 122.70 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,31/05/2018, 185.64 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ,31/05/2018, 270.24 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,31/05/2018, 163.00 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,31/05/2018, 185.80 ,
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,11/05/2018," 32,427.43 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,11/05/2018," 30,775.24 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,11/05/2018," 7,698.88 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Brockton Care LTD,01/05/2018, 952.02 ,
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Brockton Care LTD,16/05/2018," 1,029.46 ",
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),Healthwatch,11/05/2018," 25,000.00 ",
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,31/05/2018, 141.00 ,
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,31/05/2018, 164.50 ,
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted personal Information ,30/05/2018, 640.00 ,
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted personal Information ,30/05/2018, 600.00 ,
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted personal Information ,30/05/2018, 600.00 ,
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,Bed & Breakfast Charges,Reacted personal Information ,30/05/2018, 600.00 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Legal Expenses,Kings Chambers,31/05/2018, 472.50 ,
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Consultants Fees,VAIDYA MEDICAL SERVICES LIMITED,15/05/2018, 188.67 ,
Adult Social Care,Early Help & Support Directorate,Premises-Related Expenditure,Hire Of Rooms,KETLEY PARISH COUNCIL,11/05/2018, 324.00 ,
Adult Social Care,Early Help & Support Directorate,Premises-Related Expenditure,Hire Of Rooms,KETLEY PARISH COUNCIL,11/05/2018, 400.00 ,
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telecomms,BT GLOBAL SERVICES ,29/05/2018, 573.87 ,
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telecomms,BT GLOBAL SERVICES,14/05/2018, 573.87 ,
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,30/05/2018, 183.94 ,
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Computer Software (Maint),Servelec Education Ltd,16/05/2018," 15,402.00 ",
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Computer Software (Maint),Servelec Education Ltd,16/05/2018," 5,375.00 ",
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,17/05/2018," 24,760.00 ",
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,Permanent Futures Ltd,30/05/2018," 9,100.00 ",
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,15/05/2018," 40,320.00 ",
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Registration / Licence Fees,EQUIFAX PLC,15/05/2018, 359.78 ,
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,17/05/2018," 500,000.00 ",
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,17/05/2018," 127,598.36 ",
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Legal Expenses,REDACTED PERSONAL INFORMATION’ ,23/05/2018, 450.00 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,HAYMARKET MEDIA GROUP LTD ,22/05/2018," 1,710.00 ",
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,HAYMARKET MEDIA GROUP LTD ,03/05/2018," 1,900.00 ",
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Consultants Fees,IRONBRIDGE GORGE MUSEUM TRUST LTD,15/05/2018," 9,224.65 ",
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,03/05/2018, 360.36 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,11/05/2018, 415.80 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,16/05/2018, 249.48 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Consultants Fees,READING AGRICULTURAL CONSULTANTS,04/05/2018, 575.00 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,Planning Jungle Limited,15/05/2018, 200.00 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,Shropshire Constructing Excellence,22/05/2018, 195.00 ,
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Be Bold Media Limited,15/05/2018," 1,000.00 ",
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,21/05/2018," 1,100.00 ",
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Curriculum Development,Erimax Ltd,31/05/2018," 6,041.60 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,18/05/2018, 617.44 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC,25/05/2018, 482.11 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC ,02/05/2018, 250.49 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ELEC ,11/05/2018," 1,416.02 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ,23/05/2018, 343.42 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ,16/05/2018, 446.99 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,EDF ENERGY CUSTOMERS PLC,18/05/2018," 12,718.31 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,EDF ENERGY CUSTOMERS PLC,03/05/2018," 12,365.09 ",
"Business, Development & Employment",Estates & Investment,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,30/05/2018," 1,500.00 ",
"Business, Development & Employment",Estates & Investment,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,30/05/2018," 14,012.50 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,HYDRO-TECH ENVIRONMENTAL LLP,23/05/2018, 195.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,HYDRO-TECH ENVIRONMENTAL LLP,23/05/2018, 245.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,HYDRO-TECH ENVIRONMENTAL LLP,23/05/2018, 245.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,HYDRO-TECH ENVIRONMENTAL LLP,22/05/2018, 150.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,NPOWER ELECTRICITY,25/05/2018, 181.48 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,ANGEL SPRINGS LTD / PHS GROUP,11/05/2018, 278.34 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,23/05/2018, 886.47 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,14/05/2018, 253.21 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,11/05/2018, 238.80 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,25/05/2018, 108.57 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Water Rates,WATER PLUS FORMERLY SEVERN TRENT WATER LTD,11/05/2018," 1,059.85 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,3S PRINT & DISPLAY LIMITED,25/05/2018," 1,030.00 ",
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,CreditCall Limited,23/05/2018, 507.84 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018, 185.89 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018," 1,395.00 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018, 289.95 ,
"Business, Development & Employment",Estates & Investment,Third Party Payments,Contractor Recharge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018, 404.57 ,
"Business, Development & Employment",Estates & Investment,Third Party Payments,Contractor Recharge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018, 130.26 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,16/05/2018," 1,864.00 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,16/05/2018," 2,796.16 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/05/2018, 140.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,03/05/2018, 896.89 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018," 2,094.00 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/05/2018, 435.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/05/2018, 460.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,01/05/2018, 490.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/05/2018, 160.56 ,
"Business, Development & Employment",Estates & Investment,Supplies & Services,Other Services,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/05/2018, 480.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,09/05/2018, 158.04 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,15/05/2018, 164.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,09/05/2018, 105.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,22/05/2018, 258.60 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,22/05/2018, 392.62 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,RMF LANDSCAPING LTD,11/05/2018," 2,600.00 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 660.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 605.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 605.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 385.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 385.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 605.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 605.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 605.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 385.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,30/05/2018, 385.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,NOBRIDGE LTD,14/05/2018, 210.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/05/2018, 109.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/05/2018, 162.76 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/05/2018, 131.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,15/05/2018, 120.22 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,15/05/2018, 181.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,22/05/2018, 262.74 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/05/2018, 126.56 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/05/2018, 157.18 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,03/05/2018, 106.50 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,03/05/2018, 186.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,09/05/2018," 1,044.07 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,22/05/2018, 399.84 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,14/05/2018," 1,717.45 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,14/05/2018," 1,532.45 ",
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,22/05/2018, 114.84 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,22/05/2018, 103.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/05/2018, 400.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,03/05/2018, 180.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,29/05/2018, 340.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,11/05/2018, 255.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,08/05/2018, 345.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,24/05/2018, 660.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,14/05/2018, 660.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,WREKIN DRAIN SERVICES LTD,04/05/2018, 880.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,COOL SERVICES LTD,03/05/2018, 601.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Reacted personal Information ,30/05/2018, 191.25 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,Derwent Fencing Ltd,11/05/2018, 300.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,04/05/2018, 389.80 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,04/05/2018, 187.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,BUSY BEE CLEANING,16/05/2018, 150.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Window Cleaning,BUSY BEE CLEANING,16/05/2018, 240.00 ,
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,Reacted personal Information ,14/05/2018, 273.50 ,
