Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,
Adult Care & Support,Assessment & Case Management,HOAA,Supplies & Services,Consultants Fees,Lodhi Associates Ltd,09/12/2013,625,,,,
Adult Care & Support,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,HILBRAE PETS HOTEL,19/12/2013,437,,,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Registration / Licence Fees,CARE QUALITY COMMISSION,19/12/2013,5200,,,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Comp Software (Purch / Hire),OLM SYSTEMS LTD,19/12/2013,850,,,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Comp Software (Purch / Hire),OLM SYSTEMS LTD,19/12/2013,425,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,17/12/2013,5747.2,,,,
Adult Care & Support,Care & Support,HHAC,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,19/12/2013,147.1,,,,
Adult Care & Support,Care & Support,HHAC,Supplies & Services,Consultants Fees,Impact Change Solutions,19/12/2013,3000,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,13/12/2013,329.12,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,05/12/2013,120,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,04/12/2013,221.32,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,05/12/2013,119.06,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,05/12/2013,180,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Photocopying,XEROX (UK) LTD,13/12/2013,-114.71,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Chemicals/Cleaning Products,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/12/2013,126.4,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Chemicals/Cleaning Products,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/12/2013,126.4,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,23/12/2013,140.22,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,02/12/2013,119.85,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,24/12/2013,1630,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,16/12/2013,300,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Equipment - Hire,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),04/12/2013,365.69,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,24/12/2013,609,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,02/12/2013,1527.75,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,BERWICK CARE EQUIPMENT LTD,24/12/2013,228,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,24/12/2013,433.11,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,02/12/2013,500.14,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,02/12/2013,388.63,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Supplies & Services,Equipment - Purchase,CARESHOP,24/12/2013,395.24,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Gas,NPOWER LIMITED,16/12/2013,158.5,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,09/12/2013,148.12,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,09/12/2013,197.49,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,09/12/2013,345.61,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,09/12/2013,345.61,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,09/12/2013,345.61,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Service Contracts,SRCL LTD,20/12/2013,788.69,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBJ,Supplies & Services,Equipment - Purchase,THE WREKIN HOUSING TRUST,23/12/2013,1001.76,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBJ,Supplies & Services,Equipment - Purchase,THE WREKIN HOUSING TRUST,23/12/2013,834.8,,,,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,02/12/2013,176.8,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,18/12/2013," 1,133.14 ",,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Furniture - Purchase,DAWLEY BARGAIN CENTRE,04/12/2013,130,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,16/12/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,19/12/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,05/12/2013,180,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,09/12/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Doctors Fees,TRIMEGA LABORATORIES LTD,09/12/2013,154.13,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,02/12/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,23/12/2013,125,,,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,04/12/2013,635,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,10/12/2013,501,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,04/12/2013,2000,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,05/12/2013,1400,,,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,05/12/2013,4772.45,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Employees,Childcare Provision,CENTRAL PARK NURSERY ,20/12/2013,330,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Employees,Childcare Provision,WOODEN TOPS DAY NURSERY F164,20/12/2013,289.84,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,09/12/2013,352.84,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,ALLIED SOCIAL CARE LIMITED,03/12/2013,625,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,05/12/2013,200,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,WOODVILLE DAY NURSERY,05/12/2013,147.9,,,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Third Party Payments,Social Care External Contact,CONNECT CONTACT CENTRES,02/12/2013,416,,,,
Children's Safeguarding,Child Protection & Assessment,JSAB,Supplies & Services,Legal Expenses,Wright McMillian Bennett Law,04/12/2013,874.89,,,,
Children's Safeguarding,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,REDACTED PERSONAL INFORMATION,05/12/2013,180,,,,
Children's Safeguarding,Child Protection & Assessment,JSAB,Third Party Payments,Childminders,REDACTED PERSONAL INFORMATION,20/12/2013,510,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,No recourse to public funds,Braith Solicitors,12/12/2013,545,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Supplies & Services,No recourse to public funds,Braith Solicitors,12/12/2013,673,,,,
Children's Safeguarding,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Taxi Costs,CORKYS CARS,13/12/2013,760,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Supplies & Services,Doctors Fees,FREEDOM FOSTERING,02/12/2013,967.37,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,THE ADOLESCENT & CHILDRENS TRUST,10/12/2013,3003.9,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3238.41,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3271.8,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3139.67,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3172.07,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3139.67,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,12/12/2013,3412,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,2978.57,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,2978.57,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3236.79,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3238.41,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3407.14,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,2951.79,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/12/2013,3339,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,04/12/2013,1727.14,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,11/12/2013,2282,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,11/12/2013,3537.1,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,10/12/2013,3808.57,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,05/12/2013,3564,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/12/2013,5323.94,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/12/2013,5323.94,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,16/12/2013,5078.57,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,24/12/2013,108.92,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,17/12/2013,3609.29,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CORE ASSETS FOSTERING LIMITED,02/12/2013,5152.2,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PATHWAY CARE LTD,24/12/2013,2987.11,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PATHWAY CARE LTD,24/12/2013,3144.33,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,24/12/2013,3516.29,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,INDEPENDENT CHILDCARE GROUP OF SCHOOLS L,02/12/2013,3361.64,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,02/12/2013,275.14,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FREEDOM FOSTERING,02/12/2013,3168,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/12/2013,3907.42,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,03/12/2013,5600.91,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,THE ADOLESCENT & CHILDRENS TRUST,03/12/2013,3003.9,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FREEDOM FOSTERING,24/12/2013,1001.57,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/12/2013,1015.71,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/12/2013,3407.14,,,,
Children's Safeguarding,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,24/12/2013,410.14,,,,
Children's Safeguarding,Children in Care & Fostering,JPAM,Employees,Training Expenses,GRAYS HOTEL LTD,10/12/2013,120,,,,
Children's Safeguarding,Children in Care & Fostering,JPAM,Premises-Related Expenditure,R&M -Buildings DLO Charge,ROSEMONT BUILDING CONTRACTORS,19/12/2013,7319,,,,
Children's Safeguarding,Children in Care & Fostering,JPAM,Premises-Related Expenditure,R&M -Buildings DLO Charge,ROSEMONT BUILDING CONTRACTORS,18/12/2013,5000,,,,
Children's Safeguarding,Children in Care & Fostering,JPAM,Supplies & Services,Furniture - Purchase,DIAL-A-MATTRESS (SHROPSHIRE) LTD,24/12/2013,266.73,,,,
Children's Safeguarding,Children in Care & Fostering,JPAM,Supplies & Services,Subscriptions,FOSTERING NETWORK,23/12/2013,2702,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Premises-Related Expenditure,R&M -Buildings DLO Charge,PYRAMID SCHOOLS (HADLEY) LTD,02/12/2013,672.88,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,11/12/2013,3399.6,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,03/12/2013,2635,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,04/12/2013,850,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,04/12/2013,1700,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,SUNFIELD CHILDRENS HOMES LTD,04/12/2013,-9094.6,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,PRESTIGE ADOLESCENT CARE & EDUCATION,10/12/2013,11328.67,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,ST HELENS COUNCIL,06/12/2013,18602.79,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,PRESTIGE ADOLESCENT CARE & EDUCATION,02/12/2013,11514.33,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,ABC CARE LTD,24/12/2013,10000,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,NEW HORIZONS CHILD CARE LTD,24/12/2013,11142.9,,,,
Children's Safeguarding,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,SACCS CARE LTD,03/12/2013,19817.1,,,,
