Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,6975,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,994.33,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,1241.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/02/2014,1660.8,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,13/02/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,13/02/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/02/2014,1727.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/02/2014,1550,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/02/2014,930,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,13/02/2014,1812.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,13/02/2014,2799.96,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,13/02/2014,251.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,13/02/2014,251.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/02/2014,1671.43,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,GB Furniture,13/02/2014,400,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),THE HUNTINGTON'S DISEASE ASSOCIATIONS,11/02/2014,2000,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Printing - Other,LEXON,11/02/2014,223.55,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,25/02/2014,499.59,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,25/02/2014,155.82,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,25/02/2014,126.99,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,25/02/2014,618.72,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),24/02/2014,82508.68,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),24/02/2014,3914.32,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),24/02/2014,55526,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),24/02/2014,12238.6,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/02/2014,48331.47,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,11/02/2014,6301.66,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,18/02/2014,6301.66,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),18/02/2014,50137.39,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/02/2014,38997.56,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/02/2014,29051.21,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/02/2014,46797.07,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/02/2014,-2093.83,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,25/02/2014,32931.3,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Supplies & Services,Other Services,BRITISH RED CROSS SOCIETY,11/02/2014,5645.79,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCM,Third Party Payments,Nursing Expenditure,MORRIS CARE,18/02/2014,77142.86,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,19/02/2014,156481,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,19/02/2014,368721.5,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,19/02/2014,73864,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,VISION HOMES ASSOCIATION,28/02/2014,1109.5,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,VISION HOMES ASSOCIATION,28/02/2014,1079.86,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,BETHPHAGE,28/02/2014,198,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,BETHPHAGE,28/02/2014,4768.36,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,BETHPHAGE,28/02/2014,4296.72,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,20/02/2014,7217.23,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,18/02/2014,68380.23,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,19/02/2014,158875.87,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,19/02/2014,33026.38,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOAA,Supplies & Services,Furniture - Purchase,CHRISBEON OFFICE SUPPLIES,10/02/2014,362,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOAA,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/02/2014,149.33,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCB,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,27/02/2014,15000,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCB,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,27/02/2014,15000,,,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,13/02/2014,368.63,,,,,,,,
Adult Care & Support,Care & Support,HCAH,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,18/02/2014,107.4,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,05/02/2014,165.5,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS WASTEMANAGEMENT,28/02/2014,377.04,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,05/02/2014,221.94,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,05/02/2014,205.39,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,26/02/2014,120,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,JACKDAW DINSTOCK,04/02/2014,287.15,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,24/02/2014,207.9,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,25/02/2014,116.82,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Supplies & Services,Protective Clothing,CARESHOP,20/02/2014,203.08,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Pocket Money/Home Leave,REDACTED PERSONAL INFORMATION,20/02/2014,305.29,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,20/02/2014,500.14,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Trade Refuse,PHS GROUP LTD,20/02/2014,220,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLED,Supplies & Services,Equipment - Repair,TECHNICAL SERVICES (SHROPSHIRE) LIMITED,06/02/2014,134,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLED,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,26/02/2014,113.62,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,18/02/2014,197.49,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,18/02/2014,197.49,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Supplies & Services,Furniture - Purchase,AST FLOORCOVERINGS LTD,14/02/2014,166.67,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,HILBRAE PETS HOTEL,14/02/2014,1058,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,04/02/2014,176.8,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HOAS,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,20/02/2014,176.8,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HOCP,Supplies & Services,Consultants Fees,TROJAN CONSULTANTS LIMITED,03/02/2014,911.5,,,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,20/02/2014,1134.87,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JAAG,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,17/02/2014,284,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,EARLYWORLD LIMITED,24/02/2014,500,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Employees,Agency Supply Costs,Nonstop Recruitment,24/02/2014,874.5,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,04/02/2014,2760,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,04/02/2014,369.05,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,24/02/2014,373.79,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,24/02/2014,387.82,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,24/02/2014,710,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAA,Supplies & Services,Legal,NO 5 CHAMBERS LIMITED,24/02/2014,500,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,07/02/2014,1400,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,07/02/2014,352.75,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,07/02/2014,1400,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Transport-Related Expenditure,Contract Hire,CENTRAL TAXIS LTD SHREWSBURY,07/02/2014,932.5,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,SMILEY FACES DAY NURSERIES LTD,07/02/2014,476.25,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,PATCHES LTD,05/02/2014,2475.6,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,Woodside Start Centre,10/02/2014,252,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,Meithrinfa Traed Bach Nursery,13/02/2014,150,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,24/02/2014,1750,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Transport-Related Expenditure,Travelling Expenses General,REED BUSINESS INFORMATION LTD,20/02/2014,199,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Transport-Related Expenditure,Contract Hire,CENTRAL TAXIS LTD SHREWSBURY,21/02/2014,896,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,28/02/2014,1000,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,28/02/2014,1000,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,28/02/2014,1000,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,28/02/2014,1000,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,28/02/2014,1000,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,28/02/2014,1000,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,CARTER BROWN LIMITED,28/02/2014,213.25,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,28/02/2014,841.8,,,,,,,,
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Social Care External Contact,CONNECT CONTACT CENTRES,24/02/2014,208,,,,,,,,
