Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),AGE CONCERN SHROPS TELFORD & WREKIN,28/05/2014,"30,891.00"
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Legal Expenses,Contracts & Procurement Advice Limited,14/05/2014,"2,998.79"
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,09/05/2014,112.50
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,09/05/2014,212.50
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,20/05/2014,150.00
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,13/05/2014,"100,717.50"
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"4,193.91"
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),21/05/2014,"4,333.71"
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),21/05/2014,"89,434.29"
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"86,728.42"
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"59,492.15"
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"13,112.78"
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"50,362.14"
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,28/05/2014,"37,173.42"
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,28/05/2014,"44,608.11"
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,28/05/2014,"31,391.31"
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,28/05/2014,"27,692.37"
Adult Care & Support,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"5,369.91"
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),12/05/2014,"5,369.91"
Adult Care & Support,Assessment & Case Management,HLAJ,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,11/05/2014,"2,152.00"
Adult Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NHS Telford and Wrekin CCG,21/05/2014,"599,066.50"
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Joint Financing,SHROPSHIRE COUNCIL,08/05/2014,"39,813.43"
Adult Care & Support,Assessment & Case Management,HLCK,Third Party Payments,Residential Expenditure,VISION HOMES ASSOCIATION,08/05/2014,"49,176.60"
Adult Care & Support,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,13/05/2014,"33,026.38"
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,30/05/2014,"68,380.23"
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,13/05/2014,"158,875.87"
Adult Care & Support,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,12/05/2014,"1,813.27"
Adult Care & Support,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,12/05/2014,"1,826.65"
Adult Care & Support,Assessment & Case Management,HOBN,Transport-Related Expenditure,Transport,NSL t/a NSL CARE SERVICES,01/05/2014,107.59
Adult Care & Support,Assessment & Case Management,HOCA,Transport-Related Expenditure,Transport,Ambuline Ltd,21/05/2014,160.00
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,30/05/2014,300.00
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,27/05/2014,240.00
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,29/05/2014,215.00
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,21/05/2014,300.00
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,21/05/2014,150.00
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,23/05/2014,300.00
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Consultancy,OLM SYSTEMS LTD,22/05/2014,"5,000.00"
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Consultancy,OLM SYSTEMS LTD,22/05/2014,500.00
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,29/05/2014,368.63
Adult Care & Support,Care & Support,HHAC,Supplies & Services,Conference Expenses,REDACTED PERSONAL INFORMATION,30/05/2014,199.50
Adult Care & Support,Care & Support,HHAC,Supplies & Services,Publications,DUN & BRADSTREET LIMITED,21/05/2014,102.00
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,16/05/2014,305.60
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,01/05/2014,127.92
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,01/05/2014,120.00
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,01/05/2014,200.89
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,22/05/2014,149.24
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,16/05/2014,130.05
Adult Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,01/05/2014,"2,018.58"
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,22/05/2014,200.00
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,01/05/2014,317.50
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Grounds Maintenance - L&CS,SITEWATCH,01/05/2014,367.71
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Grounds Maintenance - L&CS,SITEWATCH,01/05/2014,-367.71
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,09/05/2014,374.87
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,20/05/2014,118.35
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,01/05/2014,500.14
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,16/05/2014,524.29
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,WE ARE THE CARE COMPANY LTD,09/05/2014,155.00
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS ALL CLEAR,01/05/2014,"1,085.50"
Adult Care & Support,Personalisation Support & Service Provision,HLED,Premises-Related Expenditure,Gas,NPOWER LIMITED,13/05/2014,233.45
Adult Care & Support,Personalisation Support & Service Provision,HLED,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,02/05/2014,407.55
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Other Expenses,TV LICENSING,23/05/2014,145.50
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Service Contracts,SRCL LTD,20/05/2014,793.36
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,MEADCROFT COMFORTS FUND,09/05/2014,130.00
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,MEADCROFT COMFORTS FUND,09/05/2014,130.00
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,MEADCROFT COMFORTS FUND,09/05/2014,130.00
Adult Care & Support,Personalisation Support & Service Provision,HMBC,Third Party Payments,Daycare Expenditure,TELFORD MIND,14/05/2014,"41,757.44"
Adult Care & Support,Personalisation Support & Service Provision,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,30/05/2014,"3,259.11"
Adult Care & Support,Personalisation Support & Service Provision,HMBK,Third Party Payments,Private Contractors,HILBRAE PETS HOTEL,27/05/2014,275.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JAAD,Premises-Related Expenditure,Trade Refuse,PHS DATASHRED,06/05/2014,313.71
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JAAD,Supplies & Services,Administrative/Office Supplies,NORTHGATE INFORMATION SOLUTIONS UK LTD,06/05/2014,661.77
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Employees,Recruitment Advertising,SEFAT CONSULTANCY SERVICES,28/05/2014,328.37
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Other Services,TRI-X-CHILDCARE LTD,15/05/2014,"6,510.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAB,Supplies & Services,Subscriptions,Morning Lane Associates,15/05/2014,"9,000.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JHAK,Supplies & Services,Other Services,Adoption Matters Northwest,15/05/2014,"1,194.42"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAA,Supplies & Services,Legal,St Ives Chambers,30/05/2014,"3,050.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Compliants,TELFORD & WREKIN CVS,02/05/2014,810.14
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,S BLAND CONSULTANCY LIMITED,02/05/2014,865.80
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Legal Expenses,S BLAND CONSULTANCY LIMITED,02/05/2014,360.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Other Services,CORE ASSETS CHILDREN'S SERVICES LIMITED,02/05/2014,"4,452.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Supplies & Services,Translation Services,UK Language Solutions Ltd,14/05/2014,410.40
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,08/05/2014,174.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,29/05/2014,132.60
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAB,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,19/05/2014,398.50
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAD,Employees,Childcare Provision,SMILEY FACES DAY NURSERIES LTD,30/05/2014,660.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,02/05/2014,700.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,J.A. FOULKES LTD,30/05/2014,241.05
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,30/05/2014,"12,473.25"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,07/05/2014,"17,331.25"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,08/05/2014,211.37
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,02/05/2014,"1,533.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Psyben Limited,08/05/2014,"3,155.50"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Right Mediation,30/05/2014,300.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,08/05/2014,"1,750.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SWAC,02/05/2014,425.40
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,01/05/2014,530.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,30/05/2014,199.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,30/05/2014,138.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,09/05/2014,291.15
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,30/05/2014,325.59
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,16/05/2014,530.44
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Childminders,DAISY CHAIN DAY CARE LTD,30/05/2014,199.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JMAL,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,19/05/2014,"1,816.81"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JPAA,Third Party Payments,Joint Financing,SHROPSHIRE COUNCIL,16/05/2014,"358,140.00"
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Employees,Childcare Provision,CENTRAL PARK NURSERY,28/05/2014,590.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Employees,Childcare Provision,CHILDCARE SOS,28/05/2014,514.50
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Employees,Recruitment Advertising,SEFAT CONSULTANCY SERVICES,28/05/2014,124.75
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,28/05/2014,150.00
Children's Safeguarding & Specialist Services,Child Protection & Assessment,JSAB,Transport-Related Expenditure,Contract Hire,DIAMOND CARS (TELFORD) LTD,21/05/2014,240.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/05/2014,105.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,Crackerjacks Day Nursery,30/05/2014,105.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Employees,Childcare Provision,SMILEY FACES DAY NURSERIES LTD,08/05/2014,468.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,ABC CARE LTD,30/05/2014,"18,162.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/05/2014,227.20
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/05/2014,227.20
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,30/05/2014,227.20
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Third Party Payments,Childminders,Crackerjacks Day Nursery,08/05/2014,105.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Contract Hire,CORKYS CARS,30/05/2014,400.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Transport,EXPOTEL HOTEL RESERVATIONS LIMITED,01/05/2014,228.90
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JMAF,Transport-Related Expenditure,Travelling Expenses General,EXPOTEL HOTEL RESERVATIONS LIMITED,30/05/2014,178.80
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,09/05/2014,"3,402.90"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,09/05/2014,"3,402.90"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,28/05/2014,"3,516.33"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,ACTION FOR CHILDREN LIMITED,28/05/2014,"3,516.33"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,09/05/2014,"3,997.50"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Childcare Bureau,30/05/2014,"4,130.75"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,28/05/2014,"3,412.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,CLIFFORD HOUSE FOSTERING LTD,30/05/2014,252.00
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,09/05/2014,"3,399.60"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FAMILIES@FAMILYCARE,27/05/2014,"4,435.50"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,27/05/2014,"3,320.31"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,27/05/2014,-868.80
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,27/05/2014,"3,160.26"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,27/05/2014,"5,005.20"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,28/05/2014,"5,172.04"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,28/05/2014,"3,430.99"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,28/05/2014,"3,265.60"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTER CARE ASSOCIATES LTD,30/05/2014,"3,258.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,28/05/2014,"3,318.21"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,28/05/2014,"3,428.82"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,13/05/2014,"3,267.81"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Foundation Fostering,09/05/2014,"3,480.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Foundation Fostering,30/05/2014,"3,712.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FREEDOM FOSTERING,12/05/2014,"3,054.86"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FREEDOM FOSTERING,28/05/2014,"3,168.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,12/05/2014,"3,236.78"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,09/05/2014,"2,550.00"
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,09/05/2014,227.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,27/05/2014,"5,078.57"
