Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,11/03/2013,-313.00
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY SLING COMPANY LTD,11/03/2013,129.00
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,13/03/2013,514.00
Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,AE PROPERTY MAINTENANCE,19/03/2013,"1,150.00"
Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,AE PROPERTY MAINTENANCE,19/03/2013,"1,270.00"
Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,AE PROPERTY MAINTENANCE,07/03/2013,850.00
Care & Support,Access & Enablement,HOCN,Supplies & Services,Printing - Other,MARKETING AT THE MILL,20/03/2013,109.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,HEREFORDSHIRE COUNCIL,26/03/2013,158.33
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,"6,496.20"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,471.46
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,"2,387.50"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/03/2013,"5,135.79"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,13/03/2013,"1,071.45"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,13/03/2013,"7,512.00"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,07/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,"3,020.08"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,576.42
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,"1,840.02"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,13/03/2013,"2,000.04"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,13/03/2013,112.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,27/03/2013,286.25
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,21/03/2013,241.50
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,11/03/2013,"16,000.00"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,"2,568.57"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,"2,090.29"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,25/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,26/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,21/03/2013,"1,200.00"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,12/03/2013,336.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,12/03/2013,"1,888.00"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,"1,731.57"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,12/03/2013,843.20
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,12/03/2013,797.01
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,12/03/2013,893.71
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/03/2013,"1,005.43"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,20/03/2013,112.50
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/03/2013,"1,467.42"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/03/2013,"2,127.51"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/03/2013,"2,685.06"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/03/2013,632.84
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/03/2013,"3,671.40"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,20/03/2013,"1,689.27"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,27/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,27/03/2013,398.66
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,460.71
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,"1,000.02"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,240.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,"1,800.12"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,501.63
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,281.25
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,"8,467.43"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,529.57
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,21/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,11/03/2013,803.50
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,599.97
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,11/03/2013,843.20
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,884.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,19/03/2013,-558.57
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,"10,638.38"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,11/03/2013,"7,375.00"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,"1,131.46"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,26/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,06/03/2013,"6,231.57"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,13/03/2013,"2,214.33"
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,25/03/2013,281.25
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,22/03/2013,225.00
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,06/03/2013,159.92
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,11/03/2013,257.16
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,27/03/2013,"2,759.00"
Care & Support,Access & Enablement,JCAF,Employees,Staff Training,TELFORD COLLEGE OF ARTS & TECHNOLOGY,15/03/2013,175.00
Care & Support,Adult Social Care Commissioning,HHAB,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,28/03/2013,215.15
Care & Support,Adult Social Care Commissioning,HHAB,Supplies & Services,Consultants Fees,TELFORD & WREKIN PCT,28/03/2013,"2,200.00"
Care & Support,Adult Social Care Commissioning,HHAB,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,13/03/2013,160.00
Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),SHROPSHIRE PARTNERS IN CARE LTD,27/03/2013,"19,271.42"
Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,13/03/2013,"4,375.00"
Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,27/03/2013,158.88
Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,27/03/2013,235.84
Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,27/03/2013,653.28
Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Consultants Fees,Impact Change Solutions,13/03/2013,"9,900.00"
Care & Support,Adult Social Care Commissioning,HJAD,Transport-Related Expenditure,Outside Hire,GLYN UPTON REMOVALS,13/03/2013,120.00
Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,07/03/2013,"3,727.92"
Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,07/03/2013,"76,837.07"
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,27/03/2013,"54,296.32"
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,07/03/2013,"28,252.61"
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,11/03/2013,"28,252.61"
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,11/03/2013,"28,252.61"
Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,27/03/2013,"38,577.71"
Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,28/03/2013,"6,301.66"
Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,28/03/2013,"6,301.66"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,26/03/2013,"122,907.17"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,21/03/2013,"52,160.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,21/03/2013,"122,907.17"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,21/03/2013,"24,621.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,04/03/2013,"52,160.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,04/03/2013,"52,160.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,04/03/2013,"122,907.17"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,04/03/2013,"24,621.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,04/03/2013,"122,907.17"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,04/03/2013,"24,621.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NORTH STAFFS COMBINED HEALTHCARE,25/03/2013,"11,938.42"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NORTH STAFFS COMBINED HEALTHCARE,25/03/2013,"11,938.42"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),NORTH STAFFS COMBINED HEALTHCARE,25/03/2013,"11,938.42"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,26/03/2013,"52,160.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,26/03/2013,"122,907.17"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,26/03/2013,"24,621.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,26/03/2013,"52,160.33"
Care & Support,Assessment & Case Management,HLAK,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN PCT,26/03/2013,"24,621.33"
Care & Support,Assessment & Case Management,HLAL,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,25/03/2013,"11,377.81"
Care & Support,Assessment & Case Management,HLAL,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,27/03/2013,"11,223.17"
Care & Support,Assessment & Case Management,HLCA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,26/03/2013,135.00
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,11/03/2013,"1,650.00"
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,15/03/2013,"2,053.93"
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,15/03/2013,"1,269.35"
Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,15/03/2013,"3,944.40"
Care & Support,Assessment & Case Management,HLCH,Supplies & Services,Furniture - Purchase,CHAIRS & SPARES,20/03/2013,170.00
Care & Support,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,04/03/2013,"33,026.38"
Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,04/03/2013,"-4,125.86"
Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,04/03/2013,"158,875.87"
Care & Support,Assessment & Case Management,HOAH,Transport-Related Expenditure,Transport,NSL Limited t/a Patient First Group,07/03/2013,107.48
Care & Support,Assessment & Case Management,HOAQ,Employees,Staff Training,The Enabling Technology & Training Network,11/03/2013,215.00
Care & Support,Assessment & Case Management,HOAQ,Employees,Staff Training,The Enabling Technology & Training Network,11/03/2013,215.00
Care & Support,Assessment & Case Management,HOAQ,Supplies & Services,Computer Consumables,The Enabling Technology & Training Network,11/03/2013,675.00
Care & Support,Assessment & Case Management,HOAQ,Supplies & Services,Computer Consumables,The Enabling Technology & Training Network,11/03/2013,160.00
Care & Support,Assessment & Case Management,HOBJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,01/03/2013,178.09
Care & Support,Assessment & Case Management,HPAB,Employees,Training Expenses,OLM SYSTEMS LTD,28/03/2013,850.00
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,20/03/2013,409.15
Care & Support,Care & Support,HHAL,Premises-Related Expenditure,General Rents,STAFFORDSHIRE UNIVERSITY,20/03/2013,"1,891.18"
Care & Support,Care & Support,HHAL,Supplies & Services,Promotion Expenses,DFP TV,05/03/2013,"5,750.00"
Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),CANNON RACEWAY,21/03/2013,270.00
Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),SHROPSHIRE PRINT & EMBROIDERY LTD,14/03/2013,445.70
Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),DONNINGTON PARTNERSHIP,14/03/2013,155.00
Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),CHILDCARE SOS,28/03/2013,104.00
Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),The Marketing People,20/03/2013,120.00
Care & Support,Care & Support,HHAM,Supplies & Services,Other Grants (Expenses),Creative Health (Arts and Health) CIC,28/03/2013,"1,900.00"
Care & Support,Mental Health & Substance Misuse,HMAN,Supplies & Services,Stationery,PAPWORTH PUBLISHING,01/03/2013,368.50
Care & Support,Mental Health & Substance Misuse,HMBB,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),13/03/2013,404.61
Care & Support,Mental Health & Substance Misuse,HMBB,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/03/2013,-977.47
Care & Support,Mental Health & Substance Misuse,HMBB,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),19/03/2013,918.79
Care & Support,Mental Health & Substance Misuse,HMBE,Premises-Related Expenditure,Insurance Premises,REDACTED PERSONAL INFORMATION,12/03/2013,760.89
Care & Support,Mental Health & Substance Misuse,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,01/03/2013,"3,259.11"
Care & Support,Mental Health & Substance Misuse,HMBJ,Third Party Payments,Residential Expenditure,D B ROBERTS,25/03/2013,199.99
Care & Support,Mental Health & Substance Misuse,HMBK,Third Party Payments,Private Contractors,GLYN UPTON REMOVALS,19/03/2013,214.00
Care & Support,Mental Health & Substance Misuse,HMBK,Third Party Payments,Private Contractors,GLYN UPTON REMOVALS,19/03/2013,214.00
Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARE SHOP,26/03/2013,303.94
Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,14/03/2013,307.68
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,27/03/2013,184.83
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,13/03/2013,178.38
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,13/03/2013,179.49
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,22/03/2013,410.02
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),11/03/2013,250.90
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,13/03/2013,113.50
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),22/03/2013,146.30
Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),13/03/2013,115.90
Care & Support,Personalisation Support & Service Provision,HLBE,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,14/03/2013,106.21
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,08/03/2013,165.13
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,05/03/2013,175.00
Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Chemicals/Cleaning Products,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),06/03/2013,125.44
Care & Support,Personalisation Support & Service Provision,HLDC,Supplies & Services,Equipment - Hire,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),04/03/2013,603.10
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,THE CARE BUREAU,11/03/2013,700.49
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,22/03/2013,772.80
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,13/03/2013,749.48
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,13/03/2013,"1,102.35"
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,13/03/2013,261.37
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,22/03/2013,762.64
Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,22/03/2013,154.34
Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,22/03/2013,624.39
Care & Support,Personalisation Support & Service Provision,HLEB,Premises-Related Expenditure,Trade Refuse,PHS GROUP LTD,11/03/2013,124.00
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,11/03/2013,291.54
Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Other Expenses,PRICE & OLIVER LIMITED,11/03/2013,150.20
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,12/03/2013,"1,805.34"
Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS ALL CLEAR,22/03/2013,"1,085.50"
Care & Support,Personalisation Support & Service Provision,HLED,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,22/03/2013,"3,534.78"
Care & Support,Personalisation Support & Service Provision,HLED,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,01/03/2013,"2,872.90"
Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,22/03/2013,"9,101.16"
