Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,32931.3,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,38997.56,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,46797.07,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,29051.21,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),13/03/2014,5310.9,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),13/03/2014,5310.9,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLAJ,Supplies & Services,Other Grants (Expenses),TELFORD CHRISTIAN COUNCIL,07/03/2014,-2152,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,BETHPHAGE,04/03/2014,-396,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOAA,Third Party Payments,Nursing Expenditure,CHRISBEON OFFICE SUPPLIES,20/03/2014,386,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOBJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,10/03/2014,184.63,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,300,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,250,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,300,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,500,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,300,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,150,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,300,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,14/03/2014,800,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,350,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,450,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,280,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,435,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,688,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,200,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,800,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCF,Supplies & Services,Other Grants (Expenses),SOCIAL CARE ONE OFF SUNDRIES,13/03/2014,350,,,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Equipment - Purchase,CHRISBEON OFFICE SUPPLIES,13/03/2014,249,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Comp Software (Purch / Hire),OLM SYSTEMS LTD,24/03/2014,212.5,,,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,27/03/2014,368.63,,,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,19/03/2014," 1,103.75 ",,,,,,,,
Adult Care & Support,Care & Support,HHAC,Supplies & Services,Conference Expenses,ADASS,17/03/2014,300,,,,,,,,
Adult Care & Support,Care & Support,HHAC,Third Party Payments,Interpreters Fees,VISS LTD,17/03/2014,125,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,27/03/2014,179.98,,,,,,,,
