Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,03/07/2013,227.2,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,03/07/2013,284,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,03/07/2013,128,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,03/07/2013,10857.93,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,HABINTEG HOUSING ASSOCIATION LTD,05/07/2013,200,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/07/2013,531.34,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,29/07/2013,5559.54,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,HABINTEG HOUSING ASSOCIATION LTD,17/07/2013,-200,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/07/2013,-464.96,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/07/2013,2250,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,31/07/2013,640.96,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/07/2013,4092.86,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/07/2013,2810.8,,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,01/07/2013,48195,,
Adult Care & Support,Adult Social Care Commissioning,HHAB,Premises-Related Expenditure,Trade Refuse,PHS DATASHRED,15/07/2013,157.5,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),HEADWAY SHROPSHIRE,12/07/2013,3013,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),SHROPSHIRE PEER COUNSELLING & ADVOCACY  SERV,10/07/2013,6423.59,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),BRITISH RED CROSS SOC (SCOTLAND PRO UNIT,22/07/2013,5645.79,,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),ALZHEIMERS SOCIETY,22/07/2013,1506.5,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,04/07/2013,282.18,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),IRONBRIDGE GORGE MUSEUM TRUST LTD,04/07/2013,2000,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,04/07/2013,-16000,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,24/07/2013,16000,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,24/07/2013,16000,,
Adult Care & Support,Adult Social Care Commissioning,HLEA,Supplies & Services,Other Grants (Expenses),REDACTED PERSONAL INFORMATION,08/07/2013,135.58,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD,18/07/2013,4333.71,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,16/07/2013,12889.01,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,30/07/2013,-481.39,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,30/07/2013,-1816.83,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,30/07/2013,-13861.43,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,18/07/2013,89732.29,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD,22/07/2013,13380.04,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,16/07/2013,61475.21,,
Adult Care & Support,Adult Social Care Commissioning,HOBP,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD,16/07/2013,13549.87,,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION,09/07/2013,7666.25,,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION,09/07/2013,7666.25,,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,16/07/2013,56400.6,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,16/07/2013,35581.66,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,16/07/2013,5487.7,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,16/07/2013,48532.72,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,22/07/2013,-4594.03,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,22/07/2013,1682.03,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,16/07/2013,106673.29,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,05/07/2013,29997,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,05/07/2013,26242.5,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,05/07/2013,36051,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,05/07/2013,43261.2,,
Adult Care & Support,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,29/07/2013,5428.92,,
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,29/07/2013,5428.92,,
Adult Care & Support,Assessment & Case Management,HLAL,Third Party Payments,Health Funded Services,VISION HOMES ASSOCIATION,15/07/2013,49176.6,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,AIDS & ADAPTIONS LTD,05/07/2013,6272.71,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,AIDS & ADAPTIONS LTD,05/07/2013,322,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,ULTIMATE SYSTEMS,05/07/2013,3200,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BROMFORD HOUSING ASSOCIATION LIMITED,29/07/2013,12756.83,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1170,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,19/07/2013,1092,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/07/2013,1650,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/07/2013,1785,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/07/2013,1725,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/07/2013,11377.81,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/07/2013,11223.17,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,BOURNVILLE VILLAGE TRUST,19/07/2013,2735.04,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,19/07/2013,3264.42,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,19/07/2013,14590.28,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Joint Financing,SHROPSHIRE COUNCIL,05/07/2013,47364.94,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Joint Financing,SHROPSHIRE COUNCIL,05/07/2013,-6893,,
Adult Care & Support,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,17/07/2013,591.38,,
Adult Care & Support,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,17/07/2013,1330.56,,
Adult Care & Support,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,17/07/2013,163.88,,
Adult Care & Support,Assessment & Case Management,HLCK,Employees,Agency Supply Costs,PRIORITY CARE (SHROPSHIRE) LTD,17/07/2013,145.25,,
Adult Care & Support,Assessment & Case Management,HOAA,Supplies & Services,Telephones,ORANGE PCS LTD,03/07/2013,135,,
Adult Care & Support,Assessment & Case Management,HOBN,Transport-Related Expenditure,Transport,NSL t/a NSL CARE SERVICES,03/07/2013,100.87,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Consultants Fees,GARNER MOORE LTD,23/07/2013,1500,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,22/07/2013, 968.83 ,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,15/07/2013,409.15,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,15/07/2013,490.37,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,15/07/2013,108.16,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,15/07/2013,100.44,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Chemicals/Cleaning Products,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),16/07/2013,121.94,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Chemicals/Cleaning Products,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),16/07/2013,113.31,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,31/07/2013,143.32,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),03/07/2013,146.35,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,22/07/2013,411.6,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,02/07/2013,200,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,02/07/2013,300,,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,Ra'alloy Ramps Ltd,03/07/2013,365,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,03/07/2013,856.98,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,03/07/2013,320.22,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,03/07/2013,737.85,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,30/07/2013,1034.34,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,30/07/2013,777.92,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,30/07/2013,1258.81,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Other Employee Costs,AMG NURSING & CARE SERVICES,30/07/2013,724.29,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,30/07/2013,643.92,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,03/07/2013,500.14,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,RICOH UK LIMITED,26/07/2013,324.03,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,26/07/2013,225.02,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,26/07/2013,228.75,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,26/07/2013,443.33,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP LIMITED,03/07/2013,436.37,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Supplies & Services,Protective Clothing,CARESHOP LIMITED,26/07/2013,123.03,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Gas,NPOWER,02/07/2013,226.87,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Gas,NPOWER LIMITED,02/07/2013,226.87,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Gas,NPOWER,08/07/2013,-226.87,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Supplies & Services,Equipment - Purchase,ORANGE PCS LTD,03/07/2013,325,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,30/07/2013,638.76,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,04/07/2013,345.61,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Service Contracts,SRCL LTD,11/07/2013,750.87,,
Adult Care & Support,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,11/07/2013,120,,
Adult Care & Support,Personalisation Support & Service Provision,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,12/07/2013,3259.11,,
Adult Care & Support,Personalisation Support & Service Provision,HMBG,Supplies & Services,Other Grants (Expenses),POHWER,19/07/2013,8375.75,,
Adult Care & Support,Personalisation Support & Service Provision,HMBJ,Supplies & Services,Furniture - Purchase,CHAIRS & SPARES,15/07/2013,140,,
Adult Care & Support,Personalisation Support & Service Provision,HMBJ,Third Party Payments,Residential Expenditure,D B ROBERTS,11/07/2013,199.99,,
Adult Care & Support,Personalisation Support & Service Provision,HMBJ,Third Party Payments,Residential Expenditure,D B ROBERTS,11/07/2013,199.99,,
Adult Care & Support,Personalisation Support & Service Provision,HOCP,Supplies & Services,Subscriptions,QUICKCALC LTD,30/07/2013,143.96,,
Children's Safeguarding,Child Protection & Assessment,JMAB,Transport-Related Expenditure,Taxi Costs,CORKYS CARS,11/07/2013,760,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,01/07/2013,125,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Doctors Fees,ALPHA BIOLABORATORIES LIMITED,09/07/2013,420,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,08/07/2013,125,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,15/07/2013,125,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,29/07/2013,125,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Section 17 Childrens Act,REDACTED PERSONAL INFORMATION,22/07/2013,125,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Supplies & Services,Furniture - Purchase,DAWLEY BARGAIN CENTRE,15/07/2013,110,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,CHIPMUNKS NURSERY,09/07/2013,157.48,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,WOODEN TOPS DAY NURSERY A/C 2862358,26/07/2013,392.76,,
Children's Safeguarding,Child Protection & Assessment,JMAD,Third Party Payments,Childminders,PARKLANDS DAY NURSERY,15/07/2013,156,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,18/07/2013,120,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,18/07/2013,1377,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,18/07/2013,2013,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,18/07/2013,355.45,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,18/07/2013,1625.5,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,MEDIATION WORKS,29/07/2013,833,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,29/07/2013,16678.81,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,29/07/2013,7239,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,VOICE,16/07/2013,259.2,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,25/07/2013,351,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,NEWSTART NETWORKS CIC,26/07/2013,2760,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,26/07/2013,2013,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SW Expertise,26/07/2013,2013,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,FIRST BASE (CREATIVE THERAPIES) LTD,26/07/2013,350,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,26/07/2013,1988,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,Psyben Limited,26/07/2013,1322.63,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,SEMAPHORE,26/07/2013,1750,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,26/07/2013,7139.34,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,31/07/2013,13135.6,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,LIVING SPRINGS FAMILY CENTRE,31/07/2013,12627.59,,
Children's Safeguarding,Child Protection & Assessment,JMAE,Supplies & Services,Other Services,ELMHURST PSYCHOLOGY LTD,31/07/2013,1078.12,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Mobile Phones,ORANGE PCS LTD,08/07/2013,135,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,15/07/2013,620.3,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,15/07/2013,544.47,,
Children's Safeguarding,Child Protection & Assessment,JMAL,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,17/07/2013,771.39,,
